date,R&D,ROE,DPO,DTE,Trends,Assets,NetIncomeLoss,AssetsCurrent,NoncurrentAssets,AccountsPayable,AccountsPayableCurrent,AccountsReceivableNetCurrent,InventoryNet,CostOfRevenue,Liabilities,LiabilitiesCurrent,PreconfirmationCurrentAssets,OtherAssetsNonCurrent,AssetsFairValueDisclosure,SellingGeneralAndAdministrativeExpense,RepaymentsOfNotesPayable,ResearchDevelopmentAndRelatedExpenses,ResearchAndDevelopmentExpense,SalesRevenueNet,DeferredRevenueCurrent,DebtCurrent,LongTermDebt,LongTermDebtCurrent,LongTermDebtNoneCurrent,OtherLongTermDebt,RepaymentsOfLongTermDebt,InterestExpenseDebt,LiabilitiesAndStockholdersEquity,StockholdersEquity
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0
2011q1,0,0,0,0,12.666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011q2,0,0,0,0,24.666666666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011q3,0,0,0,0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011q4,0,0.0,0,0.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19029000000.0
2012q1,0,0,0,0,10.666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012q2,0,0,0,0,21.333333333333332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012q3,0,0,0,0,9.333333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012q4,0,0.22796432318992654,0,0.0,8.333333333333334,0,4345000000.0,0,0,0,0,0,0,0,0,0,0,0,0,4814000000.0,0,0,0,0,0,0,0,0,0,0,123000000.0,1053000000.0,0,19060000000.0
2013q1,0,0,0,0,11.666666666666666,0,1434000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013q2,0,0,0,0,19.0,0,1258000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013q3,0,0,0,0,9.666666666666666,0,1368000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013q4,0,0.22995112237509052,0,1.4540188269370022,8.666666666666666,66125000000.0,5081000000.0,27367000000.0,0,0,787000000.0,2697000000.0,3019000000.0,0,0,7947000000.0,0,0,0,5184000000.0,0,0,0,0,0,0,32128000000.0,2505000000.0,0,0,3371000000.0,1022000000.0,66125000000.0,22096000000.0
2014q1,0,0,0,0,11.0,0,1073000000.0,0,0,0,0,0,0,0,0,0,0,0,0,1023000000.0,0,0,0,0,0,0,0,0,0,0,125000000.0,259000000.0,0,0
2014q2,0,0,0,0,18.0,0,2620000000.0,0,0,0,0,0,0,0,0,0,0,0,0,2159000000.0,0,0,0,0,0,0,0,0,0,0,3355000000.0,541000000.0,0,0
2014q3,0,0,0,0,12.333333333333334,0,3864000000.0,0,0,0,0,0,0,0,0,0,0,0,0,3372000000.0,0,0,0,0,0,0,0,0,0,0,3480000000.0,810000000.0,0,0
2014q4,0,0.20009310264566685,0,1.1915199006905113,10.666666666666666,69009000000.0,5158000000.0,34713000000.0,0,0,1212000000.0,2546000000.0,2647000000.0,0,0,7008000000.0,0,0,0,4699000000.0,5600000000.0,0,0,0,0,0,30715000000.0,500000000.0,0,0,5605000000.0,1071000000.0,69009000000.0,25778000000.0
2015q1,0,0.06123141930129027,0,1.1446842224402023,11.0,68952000000.0,1623000000.0,35064000000.0,0,0,888000000.0,2548000000.0,2686000000.0,0,0,6336000000.0,0,0,0,1026000000.0,0,0,0,0,0,0,30341000000.0,500000000.0,0,0,125000000.0,252000000.0,68952000000.0,26506000000.0
2015q2,0,0.11919662349003056,0,1.1625673118905544,16.0,71209000000.0,3276000000.0,37736000000.0,0,0,934000000.0,2779000000.0,2567000000.0,0,0,6891000000.0,0,0,0,2186000000.0,0,0,0,0,0,0,31952000000.0,1250000000.0,0,0,2150000000.0,529000000.0,71209000000.0,27484000000.0
2015q3,0,0.18375227947223513,0,1.1356598848643045,12.0,71869000000.0,5139000000.0,38844000000.0,0,0,1067000000.0,2901000000.0,2531000000.0,0,0,7165000000.0,0,0,0,3430000000.0,0,0,0,0,0,0,31761000000.0,1250000000.0,0,0,2275000000.0,811000000.0,71869000000.0,27967000000.0
2015q4,0,0.247088986219421,0,1.1191468147989887,9.666666666666666,71449000000.0,6939000000.0,38515000000.0,0,0,965000000.0,2995000000.0,2435000000.0,0,0,8664000000.0,0,0,0,4846000000.0,0,0,0,0,0,0,31429000000.0,2247000000.0,0,0,2400000000.0,1095000000.0,71449000000.0,28083000000.0
2016q1,0,0.06624363712432885,0,1.1961160309601842,10.333333333333334,75116000000.0,1900000000.0,42206000000.0,0,0,818000000.0,3078000000.0,2572000000.0,0,0,8523000000.0,0,0,0,1203000000.0,0,0,0,0,0,0,34307000000.0,2247000000.0,0,0,125000000.0,294000000.0,75116000000.0,28682000000.0
2016q2,0,0.1251120034513656,0,1.1025121959313708,15.0,75471000000.0,3770000000.0,42947000000.0,0,0,870000000.0,3078000000.0,2671000000.0,0,0,10830000000.0,0,0,0,2495000000.0,0,0,0,0,0,0,33222000000.0,5294000000.0,0,0,1000000000.0,607000000.0,75471000000.0,30133000000.0
2016q3,0,0.1880544633282423,0,1.1478568875312773,8.666666666666666,78150000000.0,5787000000.0,45844000000.0,0,0,825000000.0,3186000000.0,2681000000.0,0,0,10542000000.0,0,0,0,3739000000.0,0,0,0,0,0,0,35323000000.0,4797000000.0,0,0,2725000000.0,932000000.0,78150000000.0,30773000000.0
2016q4,0,0.25847698744769876,0,1.1580251046025105,8.666666666666666,77626000000.0,7722000000.0,46010000000.0,0,0,917000000.0,3165000000.0,2745000000.0,0,0,11204000000.0,0,0,0,5062000000.0,0,0,0,0,0,4403000000.0,34596000000.0,4403000000.0,0,0,3725000000.0,1260000000.0,77626000000.0,29875000000.0
2017q1,0,0.0675980024153801,0,1.1127721382641904,11.666666666666666,77862000000.0,2071000000.0,46456000000.0,0,0,902000000.0,3248000000.0,2871000000.0,0,0,10523000000.0,0,0,0,1064000000.0,0,0,0,0,0,0,34092000000.0,3799000000.0,0,0,605000000.0,326000000.0,77862000000.0,30637000000.0
2017q2,0,0.13309375197024148,0,1.1052897043061598,14.333333333333334,79587000000.0,4222000000.0,48442000000.0,0,0,883000000.0,3560000000.0,2961000000.0,0,0,7815000000.0,0,0,0,2273000000.0,0,0,0,0,0,1459000000.0,35062000000.0,1459000000.0,0,0,4405000000.0,647000000.0,79587000000.0,31722000000.0
