date,R&D,ROE,DPO,DTE,Trends,Assets,NetIncomeLoss,AssetsCurrent,NoncurrentAssets,AccountsPayable,AccountsPayableCurrent,AccountsReceivableNetCurrent,InventoryNet,CostOfRevenue,Liabilities,LiabilitiesCurrent,PreconfirmationCurrentAssets,OtherAssetsNonCurrent,AssetsFairValueDisclosure,SellingGeneralAndAdministrativeExpense,RepaymentsOfNotesPayable,ResearchDevelopmentAndRelatedExpenses,ResearchAndDevelopmentExpense,SalesRevenueNet,DeferredRevenueCurrent,DebtCurrent,LongTermDebt,LongTermDebtCurrent,LongTermDebtNoneCurrent,OtherLongTermDebt,RepaymentsOfLongTermDebt,InterestExpenseDebt,LiabilitiesAndStockholdersEquity,StockholdersEquity
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0
2011q1,0,0,0,0,22.666666666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011q2,0,0,0,0,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011q3,0,0,0,0,23.666666666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011q4,0,0,0,0,20.666666666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012q1,0,0,0,0,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012q2,0,0,0,0,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012q3,0,0,0,0,19.666666666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012q4,0,0,0.0,0,17.666666666666668,0,3900000000.0,0,0,0,0,0,0,68665000000.0,0,0,0,0,0,0,0,0,3298000000.0,0,0,0,0,0,0,0,0,0,0,0
2013q1,0,0,0.0,0,21.333333333333332,0,1106000000.0,0,0,0,0,0,0,15756000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013q2,0,0,0.0,0,19.666666666666668,0,1088000000.0,0,0,0,0,0,0,18450000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013q3,0,0,0.0,0,23.0,0,1158000000.0,0,0,0,0,0,0,18674000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013q4,0,0.30823529411764705,11.667030627286127,0.0,20.333333333333332,92663000000.0,4585000000.0,65074000000.0,0,0,9498000000.0,6546000000.0,0,73268000000.0,0,51486000000.0,0,0,0,0,0,0,3071000000.0,0,0,1563000000.0,0,0,0,0,0,0,92663000000.0,14875000000.0
2014q1,0,0,0.0,0,25.333333333333332,0,965000000.0,0,0,0,0,0,0,17296000000.0,0,0,0,0,0,0,0,0,809000000.0,0,0,0,0,0,0,0,0,0,0,0
2014q2,0,0,0.0,0,19.333333333333332,0,2618000000.0,0,0,0,0,0,0,35966000000.0,0,0,0,0,0,0,0,0,1542000000.0,0,0,0,0,0,0,0,0,0,0,0
2014q3,0,0,0.0,0,21.333333333333332,0,3980000000.0,0,0,0,0,0,0,56041000000.0,0,0,0,0,0,0,0,0,2292000000.0,0,0,0,0,0,0,0,0,0,0,0
2014q4,0,0.6285054818234276,12.508208255159476,0.0,16.666666666666668,99198000000.0,5446000000.0,67785000000.0,0,0,10667000000.0,7729000000.0,0,76752000000.0,0,56717000000.0,0,0,0,0,0,0,3047000000.0,0,0,929000000.0,0,0,0,0,0,0,99198000000.0,8665000000.0
2015q1,0,0.16898558057171767,55.94344723183391,0.0,18.333333333333332,97775000000.0,1336000000.0,66421000000.0,0,0,11497000000.0,8087000000.0,0,18496000000.0,0,55256000000.0,0,0,0,0,0,0,769000000.0,0,0,133000000.0,0,0,0,0,0,0,97775000000.0,7906000000.0
2015q2,0,0.390485312899106,26.045023339858457,0.0,20.0,98102000000.0,2446000000.0,66806000000.0,0,0,11531000000.0,7927000000.0,0,39846000000.0,0,57136000000.0,0,0,0,0,0,0,1569000000.0,0,0,112000000.0,0,0,0,0,0,0,98102000000.0,6264000000.0
2015q3,0,0.615727002967359,17.24978029489308,0.0,20.333333333333332,98998000000.0,4150000000.0,67576000000.0,0,0,11777000000.0,8854000000.0,0,61446000000.0,0,57808000000.0,0,0,0,0,0,0,2426000000.0,0,0,614000000.0,0,0,0,0,0,0,98998000000.0,6740000000.0
2015q4,0,0.8170481452249408,11.84095117434948,0.0,17.333333333333332,94408000000.0,5176000000.0,68234000000.0,0,0,10800000000.0,8713000000.0,0,82088000000.0,0,50412000000.0,0,0,0,0,0,0,3331000000.0,0,0,1234000000.0,0,0,0,0,0,0,94408000000.0,6335000000.0
