date,R&D,ROE,DPO,DTE,Trends,Assets,NetIncomeLoss,AssetsCurrent,NoncurrentAssets,AccountsPayable,AccountsPayableCurrent,AccountsReceivableNetCurrent,InventoryNet,CostOfRevenue,Liabilities,LiabilitiesCurrent,PreconfirmationCurrentAssets,OtherAssetsNonCurrent,AssetsFairValueDisclosure,SellingGeneralAndAdministrativeExpense,RepaymentsOfNotesPayable,ResearchDevelopmentAndRelatedExpenses,ResearchAndDevelopmentExpense,SalesRevenueNet,DeferredRevenueCurrent,DebtCurrent,LongTermDebt,LongTermDebtCurrent,LongTermDebtNoneCurrent,OtherLongTermDebt,RepaymentsOfLongTermDebt,InterestExpenseDebt,LiabilitiesAndStockholdersEquity,StockholdersEquity
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0
2011q1,0,0,0,0,43.666666666666664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011q2,0,0,0,0,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011q3,0,0,0,0,62.333333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011q4,0,0,0,0,51.666666666666664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012q1,0,0,0,0,52.666666666666664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012q2,0,0,0,0,63.666666666666664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012q3,0,0,0,0,61.666666666666664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012q4,0.03910065326314454,0,0,0,47.0,88970000000.0,0,42138000000.0,0,0,6753000000.0,9706000000.0,15547000000.0,0,71388000000.0,29415000000.0,0,0,0,5919000000.0,0,0,2466000000.0,63068000000.0,0,0,0,0,0,0,0,0,88970000000.0,0
2013q1,0.0,0,0,0,45.333333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12484000000.0,0,0,0,0,0,0,0,0,0,0
2013q2,0.0,0,0,0,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13886000000.0,0,0,0,0,0,0,0,0,0,0
2013q3,0.0,0,0,0,66.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12678000000.0,0,0,0,0,0,0,0,0,0,0
2013q4,0.03882795005123923,0,0,0,51.666666666666664,84896000000.0,0,38335000000.0,0,0,6560000000.0,8413000000.0,12625000000.0,0,64018000000.0,27297000000.0,0,0,0,5547000000.0,0,0,2046000000.0,52694000000.0,0,0,0,0,0,0,0,0,84896000000.0,0
2014q1,0.04066277115184503,0,0,0,43.333333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1292000000.0,0,0,508000000.0,12493000000.0,0,0,0,0,0,0,0,0,0,0
2014q2,0.03956111883789214,0,0,0,59.666666666666664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2729000000.0,0,0,1024000000.0,25884000000.0,0,0,0,0,0,0,0,0,0,0
2014q3,0.040292945499715335,0,0,0,77.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4175000000.0,0,0,1557000000.0,38642000000.0,0,0,0,0,0,0,0,0,0,0
2014q4,0.04094587856238733,0,0,0,52.333333333333336,84681000000.0,0,38867000000.0,0,0,6515000000.0,7737000000.0,12205000000.0,0,67855000000.0,27877000000.0,0,0,0,5697000000.0,0,0,2135000000.0,52142000000.0,0,0,0,0,0,0,0,0,84681000000.0,0
2015q1,0.045648357160772514,0,0,0,44.0,82490000000.0,0,38491000000.0,0,0,6328000000.0,7586000000.0,12099000000.0,0,65452000000.0,26566000000.0,0,0,0,1318000000.0,0,0,546000000.0,11961000000.0,0,0,0,0,0,0,0,0,82490000000.0,0
2015q2,0.045786612300373765,0,0,0,63.666666666666664,82242000000.0,0,38227000000.0,0,0,5862000000.0,7212000000.0,11681000000.0,0,65081000000.0,25606000000.0,0,0,0,2707000000.0,0,0,1078000000.0,23544000000.0,0,0,0,0,0,0,0,0,82242000000.0,0
2015q3,0.04765142333500842,0.0,0,0.0,69.33333333333333,78969000000.0,0,35280000000.0,0,0,5206000000.0,6783000000.0,11150000000.0,0,63001000000.0,25833000000.0,0,0,0,3932000000.0,0,0,1612000000.0,33829000000.0,0,0,0,0,0,0,0,0,78969000000.0,800000000.0
2015q4,0.047998731510634926,0,0,0,52.0,78342000000.0,0,33508000000.0,0,0,5023000000.0,6695000000.0,9700000000.0,0,63457000000.0,26242000000.0,0,0,0,4951000000.0,0,0,2119000000.0,44147000000.0,0,0,0,0,0,0,0,0,78342000000.0,0
2016q1,0.05785876993166287,0,0,0,48.333333333333336,78307000000.0,0,33748000000.0,0,0,5101000000.0,6856000000.0,9849000000.0,0,62554000000.0,26215000000.0,0,0,0,1088000000.0,0,0,508000000.0,8780000000.0,0,0,0,0,0,0,0,0,78307000000.0,0
2016q2,0.05297150610583446,0,0,0,62.666666666666664,78300000000.0,0,33606000000.0,0,0,5104000000.0,6326000000.0,9458000000.0,0,62997000000.0,27183000000.0,0,0,0,2211000000.0,0,0,976000000.0,18425000000.0,0,0,0,0,0,0,0,0,78300000000.0,0
2016q3,0.053146385004462955,0,0,0,62.666666666666664,76402000000.0,0,31999000000.0,0,0,4713000000.0,5797000000.0,9478000000.0,0,60687000000.0,25290000000.0,0,0,0,3203000000.0,0,0,1429000000.0,26888000000.0,0,0,0,0,0,0,0,0,76402000000.0,0
2016q4,0.05453833897073212,0,14.807445442875482,0,52.333333333333336,74704000000.0,0,31967000000.0,0,0,4614000000.0,5981000000.0,8614000000.0,28044000000.0,61491000000.0,26132000000.0,0,0,0,4686000000.0,0,0,1951000000.0,35773000000.0,0,0,0,0,0,0,0,0,74704000000.0,0
2017q1,0.04578313253012048,0,70.16321129245699,0,51.666666666666664,77549000000.0,0,35548000000.0,0,0,5302000000.0,6533000000.0,9082000000.0,6801000000.0,63889000000.0,27635000000.0,0,0,0,1045000000.0,0,0,418000000.0,9130000000.0,0,0,0,0,0,0,0,0,77549000000.0,0
2017q2,0.04405888006474784,0,66.53275332650972,0,60.0,78510000000.0,0,36991000000.0,0,0,5778000000.0,6675000000.0,9388000000.0,7816000000.0,64431000000.0,28133000000.0,0,0,0,2334000000.0,0,0,871000000.0,19769000000.0,0,0,0,0,0,0,0,0,78510000000.0,0
2017q3,0.04350108260612821,0,24.67683337071092,0,74.66666666666667,78560000000.0,0,37185000000.0,0,0,6113000000.0,6691000000.0,10212000000.0,22295000000.0,62863000000.0,25903000000.0,0,0,0,3571000000.0,0,0,1326000000.0,30482000000.0,0,0,0,0,0,0,0,0,78560000000.0,0
2017q4,0.044638672790327114,0,18.67658349328215,0,53.333333333333336,76962000000.0,0,36244000000.0,0,0,6487000000.0,7436000000.0,10018000000.0,31260000000.0,63196000000.0,26931000000.0,0,0,0,5177000000.0,0,0,1905000000.0,42676000000.0,0,0,0,0,0,0,0,0,76962000000.0,0
2018q1,0.03646090534979424,0,72.89516693906141,0,49.666666666666664,78014000000.0,0,37357000000.0,0,0,6938000000.0,7894000000.0,10947000000.0,8566000000.0,62742000000.0,27402000000.0,0,0,0,1276000000.0,0,0,443000000.0,12150000000.0,0,0,0,0,0,0,0,0,78014000000.0,0
2018q2,0.03558928782099178,0,65.2504776056039,0,68.66666666666667,78987000000.0,0,38641000000.0,0,0,6831000000.0,7991000000.0,11255000000.0,9422000000.0,64045000000.0,28300000000.0,0,0,0,2716000000.0,0,0,905000000.0,25429000000.0,0,0,0,0,0,0,0,0,78987000000.0,0
2018q3,0,0,22.618289522399113,0,86.33333333333333,78209000000.0,0,38454000000.0,0,0,6788000000.0,7974000000.0,11814000000.0,27010000000.0,62319000000.0,26033000000.0,0,0,0,4015000000.0,0,0,1384000000.0,0,0,0,0,0,0,0,0,0,78209000000.0,0
2018q4,0,0,17.152471822039626,0,57.333333333333336,78509000000.0,0,38603000000.0,0,0,7051000000.0,8802000000.0,11529000000.0,36997000000.0,64429000000.0,28218000000.0,0,0,0,5478000000.0,0,0,1850000000.0,0,0,0,0,0,0,0,0,0,78509000000.0,0
2019q1,0,0,71.9560146617794,0,49.0,78726000000.0,0,39126000000.0,0,0,7198000000.0,8961000000.0,12340000000.0,9003000000.0,63248000000.0,27388000000.0,0,0,0,1319000000.0,0,0,435000000.0,0,0,0,0,0,0,0,0,0,78726000000.0,0
2019q2,0,0,33.36043074324324,0,68.0,79187000000.0,0,39789000000.0,0,0,7022000000.0,8996000000.0,12007000000.0,18944000000.0,64309000000.0,27735000000.0,0,0,0,2628000000.0,0,0,441000000.0,0,0,0,0,0,0,0,0,0,79187000000.0,0
2019q3,0,0,20.088321884200198,0,89.0,77993000000.0,0,39160000000.0,0,0,6141000000.0,8275000000.0,12180000000.0,27513000000.0,63000000000.0,27201000000.0,0,0,0,3879000000.0,0,0,1307000000.0,0,0,0,0,0,0,0,0,0,77993000000.0,0
2019q4,0,0,14.636363636363637,0,54.0,78453000000.0,0,39193000000.0,0,0,5957000000.0,8568000000.0,11266000000.0,36630000000.0,63824000000.0,26621000000.0,0,0,0,5162000000.0,0,0,1693000000.0,0,0,0,0,0,0,0,0,0,78453000000.0,0
2020q1,0,0,71.45747316267547,0,48.0,75894000000.0,0,37586000000.0,0,0,5769000000.0,7834000000.0,11748000000.0,7266000000.0,61655000000.0,26516000000.0,0,0,0,1121000000.0,0,0,356000000.0,0,0,0,0,0,0,0,0,0,75894000000.0,0
2020q2,0,0,31.81514708950553,0,72.0,76566000000.0,0,37862000000.0,0,0,5083000000.0,7134000000.0,11371000000.0,14379000000.0,62789000000.0,25231000000.0,0,0,0,2300000000.0,0,0,341000000.0,0,0,0,0,0,0,0,0,0,76566000000.0,0
2020q3,0,0,21.944314020095785,0,84.0,76741000000.0,0,38534000000.0,0,0,5193000000.0,6969000000.0,11453000000.0,21298000000.0,61747000000.0,24978000000.0,0,0,0,1126000000.0,0,0,344000000.0,0,0,0,0,0,0,0,0,0,76741000000.0,0
2020q4,0,0,70.85303186022611,0,56.0,78324000000.0,0,39464000000.0,0,0,6128000000.0,7317000000.0,11402000000.0,7784000000.0,62946000000.0,25717000000.0,0,0,0,4642000000.0,0,0,1415000000.0,0,0,0,0,0,0,0,0,0,78324000000.0,0
2021q1,0,0,75.19470793809286,0,45.333333333333336,80729000000.0,0,42581000000.0,0,0,6694000000.0,7955000000.0,12149000000.0,8012000000.0,64112000000.0,26578000000.0,0,0,0,1239000000.0,0,0,374000000.0,0,0,0,0,0,0,0,0,0,80729000000.0,0
2021q2,0,0,36.87266915290357,0,71.66666666666667,81697000000.0,0,42946000000.0,0,0,6921000000.0,7840000000.0,12672000000.0,16893000000.0,64817000000.0,27508000000.0,0,0,0,1364000000.0,0,0,446000000.0,0,0,0,0,0,0,0,0,0,81697000000.0,0
2021q3,0,0,75.38818614366949,0,78.66666666666667,80784000000.0,0,41893000000.0,0,0,7218000000.0,7647000000.0,13666000000.0,8617000000.0,64089000000.0,25976000000.0,0,0,0,3943000000.0,0,0,1247000000.0,0,0,0,0,0,0,0,0,0,80784000000.0,0
2021q4,0,0,0,0,53.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
