date,R&D,ROE,DPO,DTE,Trends,Assets,AssetsCurrent,NoncurrentAssets,AccountsPayable,AccountsPayableCurrent,AccountsReceivableNetCurrent,InventoryNet,Liabilities,LiabilitiesCurrent,PreconfirmationCurrentAssets,OtherAssetsNonCurrent,AssetsFairValueDisclosure,SellingGeneralAndAdministrativeExpense,RepaymentsOfNotesPayable,ResearchDevelopmentAndRelatedExpenses,ResearchAndDevelopmentExpense,SalesRevenueNet,DeferredRevenueCurrent,DebtCurrent,LongTermDebt,LongTermDebtCurrent,LongTermDebtNoneCurrent,OtherLongTermDebt,RepaymentsOfLongTermDebt,InterestExpenseDebt,LiabilitiesAndStockholdersEquity,StockholdersEquity
0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0,0,0,0
2011q1,0,0,0,0.0,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011q2,0,0,0,0.0,58.333333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011q3,0,0,0,0.0,57.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011q4,0,0,0,0.0,51.666666666666664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012q1,0,0,0,0.0,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012q2,0,0,0,0.0,52.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012q3,0,0,0,0.0,52.333333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012q4,0,0,0,0.0,47.333333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013q1,0,0,0,0.0,51.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013q2,0,0,0,0.0,49.333333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013q3,0.12224576707058654,0,0,0.0,48.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5942000000.0,48607000000.0,0,0,0,0,0,0,16000000.0,0,0,0
2013q4,0,0,0,0.0,45.666666666666664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014q1,0.13493975903614458,0,0,0.0,48.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3136000000.0,23240000000.0,0,0,0,0,0,0,22000000.0,0,0,0
2014q2,0.13514445881845624,0,0,0.0,47.666666666666664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4701000000.0,34785000000.0,0,0,0,0,0,0,3274000000.0,0,0,0
2014q3,0.13351151839124348,0,0,21345000000.0,47.0,105070000000.0,67114000000.0,0,0,1032000000.0,5157000000.0,1591000000.0,48409000000.0,19809000000.0,0,0,50443000000.0,0,0,0,6294000000.0,47142000000.0,9478000000.0,508000000.0,20837000000.0,500000000.0,0,0,3276000000.0,0,105070000000.0,56654000000.0
2014q4,0.12927725602286647,0,0,0.0,43.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1583000000.0,12245000000.0,0,0,0,0,0,0,3000000.0,0,0,0
2015q1,0.12869608370208013,0,0,21372000000.0,47.666666666666664,104922000000.0,67882000000.0,0,0,988000000.0,4541000000.0,1890000000.0,47189000000.0,20034000000.0,0,0,0,0,0,0,3112000000.0,24181000000.0,9369000000.0,855000000.0,20517000000.0,850000000.0,0,0,506000000.0,0,104922000000.0,57718000000.0
2015q2,0.12828349578721296,0,0,24918000000.0,47.333333333333336,106212000000.0,69331000000.0,0,0,1118000000.0,4889000000.0,1760000000.0,47379000000.0,23245000000.0,0,0,0,0,0,0,4659000000.0,36318000000.0,9371000000.0,4418000000.0,20500000000.0,3914000000.0,0,0,507000000.0,0,106212000000.0,58823000000.0
2015q3,0.12625861963751756,0,0,29248000000.0,47.0,113481000000.0,76283000000.0,0,0,1104000000.0,5344000000.0,1627000000.0,53774000000.0,23623000000.0,0,0,59107000000.0,0,0,0,6207000000.0,49161000000.0,9824000000.0,3897000000.0,25351000000.0,3894000000.0,0,0,508000000.0,0,113481000000.0,59698000000.0
2015q4,0.12300898911843558,0,0,27646000000.0,41.666666666666664,111773000000.0,73946000000.0,0,0,1119000000.0,4712000000.0,1482000000.0,51788000000.0,22100000000.0,0,0,0,0,0,0,1560000000.0,12682000000.0,9821000000.0,3027000000.0,24619000000.0,3025000000.0,0,0,852000000.0,0,111773000000.0,59977000000.0
2016q1,0.12471047177861758,0,0,27605000000.0,41.0,112642000000.0,75005000000.0,0,0,962000000.0,4302000000.0,1362000000.0,51764000000.0,22799000000.0,0,0,0,0,0,0,3069000000.0,24609000000.0,9796000000.0,3008000000.0,24597000000.0,3006000000.0,0,0,862000000.0,0,112642000000.0,60871000000.0
2016q2,0.12824715233958864,0,0,32758000000.0,40.0,118654000000.0,78571000000.0,0,0,1007000000.0,4047000000.0,1343000000.0,56296000000.0,24003000000.0,0,0,0,0,0,0,4695000000.0,36609000000.0,9662000000.0,4164000000.0,28594000000.0,4163000000.0,0,0,3863000000.0,0,118654000000.0,62358000000.0
2016q3,0.12784535098584685,0,0,32802000000.0,38.666666666666664,121652000000.0,78719000000.0,0,0,1056000000.0,5847000000.0,1217000000.0,58067000000.0,24911000000.0,0,0,64602000000.0,0,0,0,6296000000.0,49247000000.0,10155000000.0,4160000000.0,28642000000.0,4159000000.0,0,0,3863000000.0,0,121652000000.0,63586000000.0
2016q4,0.1250809585492228,0,0,38944000000.0,35.333333333333336,126287000000.0,83141000000.0,0,0,996000000.0,4805000000.0,1176000000.0,62874000000.0,23217000000.0,0,0,0,0,0,0,1545000000.0,12352000000.0,10215000000.0,4155000000.0,34789000000.0,4155000000.0,0,0,1000000.0,0,126287000000.0,63406000000.0
2017q1,0.2636442141623489,0,0,39073000000.0,39.0,126248000000.0,83392000000.0,0,0,957000000.0,4458000000.0,1264000000.0,62430000000.0,22708000000.0,0,0,0,0,0,0,3053000000.0,11580000000.0,10243000000.0,4451000000.0,34622000000.0,4151000000.0,0,0,1000000.0,0,126248000000.0,63811000000.0
2017q2,0.38190954773869346,0,0,34718000000.0,37.0,125950000000.0,79962000000.0,0,0,1219000000.0,4635000000.0,1366000000.0,60568000000.0,22718000000.0,0,0,0,0,0,0,4560000000.0,11940000000.0,10344000000.0,4248000000.0,30470000000.0,2248000000.0,0,0,4151000000.0,0,125950000000.0,65382000000.0
2017q3,0.12621601916467035,0,0,38464000000.0,35.333333333333336,129818000000.0,83703000000.0,0,0,1385000000.0,5146000000.0,1616000000.0,63681000000.0,27583000000.0,0,0,68824000000.0,0,0,0,6059000000.0,48005000000.0,10821000000.0,7992000000.0,30472000000.0,4747000000.0,0,0,4151000000.0,0,129818000000.0,66137000000.0
2017q4,0.12911997363216876,0,0,40671000000.0,32.0,130522000000.0,84080000000.0,0,0,1155000000.0,4206000000.0,1693000000.0,64972000000.0,29284000000.0,0,0,0,0,0,0,1567000000.0,12136000000.0,10920000000.0,10239000000.0,30432000000.0,4748000000.0,0,0,748000000.0,0,130522000000.0,65550000000.0
