date,R&D,ROE,DPO,DTE,Trends,Assets,NetIncomeLoss,AssetsCurrent,NoncurrentAssets,AccountsPayable,AccountsPayableCurrent,AccountsReceivableNetCurrent,InventoryNet,CostOfRevenue,Liabilities,LiabilitiesCurrent,PreconfirmationCurrentAssets,OtherAssetsNonCurrent,AssetsFairValueDisclosure,SellingGeneralAndAdministrativeExpense,RepaymentsOfNotesPayable,ResearchDevelopmentAndRelatedExpenses,ResearchAndDevelopmentExpense,SalesRevenueNet,DeferredRevenueCurrent,DebtCurrent,LongTermDebt,LongTermDebtCurrent,LongTermDebtNoneCurrent,OtherLongTermDebt,RepaymentsOfLongTermDebt,InterestExpenseDebt,LiabilitiesAndStockholdersEquity,StockholdersEquity
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0
2011q1,0,0,0,0,18.333333333333332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011q2,0,0,0,0,17.666666666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011q3,0,0,0,0,16.666666666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011q4,0,0,0,0,17.333333333333332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012q1,0,0,0,0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012q2,0,0,0,0,17.666666666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012q3,0,0,0,0,15.333333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012q4,0,0,0,0,14.333333333333334,0,9019000000.0,0,0,0,0,0,0,0,0,0,0,0,0,17738000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013q1,0,0,0,0,13.666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013q2,0,0,0,0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013q3,0,0,0,0,11.333333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013q4,0,0.2587646580050041,0,0.6082657582974106,11.666666666666666,90055000000.0,8584000000.0,31304000000.0,0,0,0,4873000000.0,3277000000.0,0,0,27811000000.0,0,0,0,17310000000.0,0,0,0,0,0,0,20178000000.0,1024000000.0,0,0,0,0,90055000000.0,33173000000.0
2014q1,0,0,0,0,11.666666666666666,0,1619000000.0,0,0,0,0,0,0,0,0,0,0,0,0,3989000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014q2,0,0,0,0,12.666666666666666,0,4214000000.0,0,0,0,0,0,0,0,0,0,0,0,0,8373000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014q3,0,0,0,0,12.0,0,6328000000.0,0,0,0,0,0,0,0,0,0,0,0,0,12880000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014q4,0,0.23410290237467019,0,0.745877308707124,11.0,92023000000.0,7098000000.0,32986000000.0,0,0,0,4466000000.0,3100000000.0,0,0,32374000000.0,0,0,0,17218000000.0,0,0,0,0,0,0,22615000000.0,3552000000.0,0,0,0,0,92023000000.0,30320000000.0
