date,R&D,ROE,DPO,DTE,Trends,Assets,NetIncomeLoss,AssetsCurrent,NoncurrentAssets,AccountsPayable,AccountsPayableCurrent,AccountsReceivableNetCurrent,InventoryNet,CostOfRevenue,Liabilities,LiabilitiesCurrent,PreconfirmationCurrentAssets,OtherAssetsNonCurrent,AssetsFairValueDisclosure,SellingGeneralAndAdministrativeExpense,RepaymentsOfNotesPayable,ResearchDevelopmentAndRelatedExpenses,ResearchAndDevelopmentExpense,SalesRevenueNet,DeferredRevenueCurrent,DebtCurrent,LongTermDebt,LongTermDebtCurrent,LongTermDebtNoneCurrent,OtherLongTermDebt,RepaymentsOfLongTermDebt,InterestExpenseDebt,LiabilitiesAndStockholdersEquity,StockholdersEquity
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0
2011q1,0,0,0,0,61.666666666666664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011q2,0,0,0,0,49.333333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011q3,0,0,0,0,51.666666666666664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011q4,0,0,0,0,64.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012q1,0,0,0,0,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012q2,0,0,0,0,46.333333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012q3,0,0,0,0,47.666666666666664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012q4,0.049037568033983805,0,0,0,59.333333333333336,41853000000.0,2926000000.0,0,5001000000.0,0,0,0,0,0,0,0,0,0,0,5218000000.0,0,0,1847000000.0,37665000000.0,0,0,0,0,0,0,0,0,0,0
2013q1,0.0,0,0,0,57.0,0,966000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9328000000.0,0,0,0,0,0,0,0,0,0,0
2013q2,0.0,0,0,0,50.333333333333336,0,1021000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9693000000.0,0,0,0,0,0,0,0,0,0,0
2013q3,0.0,0,0,0,52.666666666666664,0,990000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9647000000.0,0,0,0,0,0,0,0,0,0,0
2013q4,0.04619126872359493,0.22465220129386843,0,0.4255453140207248,69.33333333333333,45435000000.0,3924000000.0,21164000000.0,5278000000.0,0,5174000000.0,0,4293000000.0,0,0,14181000000.0,0,0,0,5190000000.0,0,0,1804000000.0,39055000000.0,0,0,7433000000.0,0,0,0,0,0,45435000000.0,17467000000.0
2014q1,0.0,0.9245454545454546,0,0.0,66.0,0,1017000000.0,0,0,0,0,0,0,0,0,0,0,0,0,1339000000.0,0,0,0,9679000000.0,0,0,0,0,0,0,0,0,0,1100000000.0
2014q2,0.0,2.2273684210526317,0,0.0,58.0,0,2116000000.0,0,0,0,0,0,0,0,0,0,0,0,0,2714000000.0,0,0,0,19932000000.0,0,0,0,0,0,0,0,0,0,950000000.0
2014q3,0.0,5.969090909090909,0,0.0,58.666666666666664,0,3283000000.0,0,0,0,0,0,0,0,0,0,0,0,0,4058000000.0,0,0,0,30040000000.0,0,0,0,0,0,0,0,0,0,550000000.0
2014q4,0.04694090209894308,0.24007475788639066,0,0.39559381548394407,75.33333333333333,45451000000.0,4239000000.0,22191000000.0,5383000000.0,0,5365000000.0,0,4405000000.0,0,0,14773000000.0,0,0,0,5518000000.0,0,0,1892000000.0,40306000000.0,0,0,6985000000.0,0,0,0,0,0,45451000000.0,17657000000.0
2015q1,0.0,0.06361874358682021,0,0.39704708699122104,66.0,45357000000.0,1116000000.0,22272000000.0,0,0,5263000000.0,0,4507000000.0,0,0,15432000000.0,0,0,0,1230000000.0,0,0,0,9213000000.0,0,0,6965000000.0,0,0,0,0,0,45357000000.0,17542000000.0
2015q2,0.0,0.12515576745950047,0,0.37378772281519207,59.333333333333336,46412000000.0,2310000000.0,23180000000.0,0,0,5352000000.0,0,4447000000.0,0,0,15574000000.0,0,0,0,2472000000.0,0,0,0,18988000000.0,0,0,6899000000.0,0,0,0,0,0,46412000000.0,18457000000.0
2015q3,0.0,0.20123873873873874,0,0.3866554054054054,61.333333333333336,46625000000.0,3574000000.0,23479000000.0,0,0,5363000000.0,0,4441000000.0,0,0,16367000000.0,0,0,0,3674000000.0,0,0,0,28599000000.0,0,0,6867000000.0,0,0,0,0,0,46625000000.0,17760000000.0
2015q4,0.04810658095953967,0.26078871082426297,0,0.33533883935896736,69.66666666666667,49316000000.0,4768000000.0,20053000000.0,5789000000.0,0,5580000000.0,0,4420000000.0,0,0,18371000000.0,0,0,0,5006000000.0,0,0,1856000000.0,38581000000.0,0,0,6131000000.0,0,0,0,0,0,49316000000.0,18283000000.0
2016q1,0.0,0.06517557839204265,0,0.567456174094631,65.33333333333333,50365000000.0,1186000000.0,19532000000.0,0,0,5511000000.0,0,4743000000.0,0,0,15659000000.0,0,0,0,1280000000.0,0,0,0,9522000000.0,0,0,10326000000.0,0,0,0,0,0,50365000000.0,18197000000.0
2016q2,0.0,0.13147940972777156,0,0.5447232433008364,60.333333333333336,51181000000.0,2468000000.0,20380000000.0,0,0,5598000000.0,0,4678000000.0,0,0,15911000000.0,0,0,0,2609000000.0,0,0,0,19513000000.0,0,0,10225000000.0,0,0,0,0,0,51181000000.0,18771000000.0
2016q3,0.0,0.19670678964097754,0,0.5344692824761607,62.0,53556000000.0,3775000000.0,21834000000.0,0,0,5418000000.0,0,4587000000.0,0,0,18213000000.0,0,0,0,3976000000.0,0,0,0,29317000000.0,0,0,10257000000.0,0,0,0,0,0,53556000000.0,19191000000.0
2016q4,0.054526487201669124,0.24828333935670402,0,0.6406629149672156,76.33333333333333,54146000000.0,4809000000.0,23058000000.0,5793000000.0,0,5690000000.0,8177000000.0,4366000000.0,0,0,16331000000.0,0,0,0,5469000000.0,0,0,2143000000.0,39302000000.0,0,0,12409000000.0,0,0,0,0,0,54146000000.0,19369000000.0
2017q1,0.0,0.06524627269596024,0,0.6127048172021847,66.0,54779000000.0,1326000000.0,23580000000.0,0,0,5805000000.0,8155000000.0,4652000000.0,0,0,17281000000.0,0,0,0,1349000000.0,0,0,0,9492000000.0,0,0,12452000000.0,0,0,0,0,0,54779000000.0,20323000000.0
2017q2,0.0,0.06815177478580171,0,0.6221297429620563,64.66666666666667,55668000000.0,1392000000.0,24064000000.0,0,0,5971000000.0,8442000000.0,4651000000.0,0,0,17981000000.0,0,0,0,1381000000.0,0,0,0,19570000000.0,0,0,12707000000.0,0,0,0,0,0,55668000000.0,20425000000.0
2017q3,0.0,0.06396507544841985,0,0.6098035493973617,69.0,56768000000.0,1348000000.0,24644000000.0,0,0,6061000000.0,8587000000.0,4751000000.0,0,0,18225000000.0,0,0,0,4177000000.0,0,0,0,29691000000.0,0,0,12851000000.0,0,0,0,0,0,56768000000.0,21074000000.0
2017q4,0.04527063699610204,-0.14610350260574476,0,0.8437765119379469,85.0,59470000000.0,-2411000000.0,26002000000.0,5926000000.0,0,6584000000.0,8866000000.0,4613000000.0,0,0,18861000000.0,0,0,0,5808000000.0,0,0,1835000000.0,40534000000.0,0,0,13924000000.0,0,0,0,0,0,59470000000.0,16502000000.0
2018q1,0.0,0.0817277635691958,0,0.7320829781187838,79.33333333333333,60948000000.0,1438000000.0,25587000000.0,0,0,6641000000.0,8778000000.0,4766000000.0,0,0,18755000000.0,0,0,0,1475000000.0,0,0,0,10392000000.0,0,0,12881000000.0,0,0,0,0,0,60948000000.0,17595000000.0
2018q2,0.0,0.1536931818181818,0,0.7180113636363636,69.33333333333333,59860000000.0,2705000000.0,24779000000.0,0,0,6808000000.0,8600000000.0,4792000000.0,0,0,18018000000.0,0,0,0,3003000000.0,0,0,0,21311000000.0,0,0,12637000000.0,0,0,0,0,0,59860000000.0,17600000000.0
2018q3,0,0.2765502494654312,0,0.782608695652174,73.66666666666667,61927000000.0,5044000000.0,26628000000.0,0,0,7050000000.0,8568000000.0,5061000000.0,0,0,17900000000.0,0,0,0,4527000000.0,0,0,0,0,0,0,14274000000.0,0,0,0,0,0,61927000000.0,18239000000.0
2018q4,0,0.3721122112211221,0,0.6946094609460947,87.0,57773000000.0,6765000000.0,24362000000.0,5296000000.0,0,5607000000.0,7508000000.0,4326000000.0,0,0,18924000000.0,0,0,0,6051000000.0,0,0,1809000000.0,0,0,0,12628000000.0,0,0,0,0,0,57773000000.0,18180000000.0
2019q1,0,0.07545159055789417,0,0.6712847018703043,77.66666666666667,58560000000.0,1416000000.0,24334000000.0,0,0,5582000000.0,7307000000.0,4548000000.0,0,0,19593000000.0,0,0,0,1363000000.0,0,0,0,0,0,0,12598000000.0,0,0,0,0,0,58560000000.0,18767000000.0
2019q2,0,0.1654728595411304,0,0.7064913262451036,70.66666666666667,57750000000.0,2957000000.0,23768000000.0,0,0,5602000000.0,7407000000.0,4600000000.0,0,0,19894000000.0,0,0,0,2750000000.0,0,0,0,0,0,0,12625000000.0,0,0,0,0,0,57750000000.0,17870000000.0
2019q3,0,0.08967916505604948,0,0.8387542106135071,72.66666666666667,60104000000.0,1624000000.0,26188000000.0,0,0,5522000000.0,7583000000.0,4601000000.0,0,0,19915000000.0,0,0,0,1296000000.0,0,0,0,0,0,0,15189000000.0,0,0,0,0,0,60104000000.0,18109000000.0
2019q4,0,0.3321617821996323,0,0.6751378825565049,84.66666666666667,58679000000.0,6143000000.0,24303000000.0,5325000000.0,0,5730000000.0,7493000000.0,4421000000.0,0,0,18098000000.0,0,0,0,5519000000.0,0,0,1556000000.0,0,0,0,12486000000.0,0,0,0,0,0,58679000000.0,18494000000.0
2020q1,0,0.08960553162548175,0,0.713216957605985,72.33333333333333,57422000000.0,1581000000.0,22613000000.0,0,0,5676000000.0,7452000000.0,4584000000.0,0,0,17377000000.0,0,0,0,1238000000.0,0,0,0,0,0,0,12584000000.0,0,0,0,0,0,57422000000.0,17644000000.0
2020q2,0,0.1466909130985838,0,1.0226483716316745,78.66666666666667,63604000000.0,2662000000.0,28321000000.0,0,0,5366000000.0,6717000000.0,4753000000.0,0,0,17341000000.0,0,0,0,2421000000.0,0,0,0,0,0,0,18558000000.0,0,0,0,0,0,63604000000.0,18147000000.0
2020q3,0,0.18922208697576628,0,1.0330862011729556,80.0,63459000000.0,3420000000.0,28200000000.0,0,0,5270000000.0,6878000000.0,4705000000.0,0,0,17184000000.0,0,0,0,3524000000.0,0,0,0,0,0,0,18672000000.0,0,0,0,0,0,63459000000.0,18074000000.0
2020q4,0,0.2723232092996752,0,1.0705453302182462,87.0,64586000000.0,4779000000.0,28175000000.0,5570000000.0,0,5750000000.0,6827000000.0,4489000000.0,0,0,19197000000.0,0,0,0,4772000000.0,0,0,1334000000.0,0,0,0,18787000000.0,0,0,0,0,0,64586000000.0,17549000000.0
2021q1,0,0.07933948626709664,0,0.9873790726120316,77.33333333333333,63561000000.0,1427000000.0,25587000000.0,0,0,5792000000.0,6675000000.0,4607000000.0,0,0,17950000000.0,0,0,0,1236000000.0,0,0,0,0,0,0,17759000000.0,0,0,0,0,0,63561000000.0,17986000000.0
2021q2,0,0.15927082171925522,0,0.9913591258780243,72.33333333333333,63945000000.0,2857000000.0,25652000000.0,0,0,6139000000.0,6947000000.0,4723000000.0,0,0,18143000000.0,0,0,0,2443000000.0,0,0,0,0,0,0,17783000000.0,0,0,0,0,0,63945000000.0,17938000000.0
2021q3,0,0.23057953144266338,0,0.9914807756977917,69.66666666666667,64191000000.0,4114000000.0,26033000000.0,0,0,6116000000.0,7239000000.0,4967000000.0,0,0,20207000000.0,0,0,0,1152000000.0,0,0,0,0,0,0,17690000000.0,0,0,0,0,0,64191000000.0,17842000000.0
2021q4,0,0,0,0,78.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
