date,R&D,ROE,DPO,DTE,Trends,Assets,AssetsCurrent,NoncurrentAssets,AccountsPayable,AccountsPayableCurrent,AccountsReceivableNetCurrent,InventoryNet,Liabilities,LiabilitiesCurrent,PreconfirmationCurrentAssets,OtherAssetsNonCurrent,AssetsFairValueDisclosure,SellingGeneralAndAdministrativeExpense,RepaymentsOfNotesPayable,ResearchDevelopmentAndRelatedExpenses,ResearchAndDevelopmentExpense,SalesRevenueNet,DeferredRevenueCurrent,DebtCurrent,LongTermDebt,LongTermDebtCurrent,LongTermDebtNoneCurrent,OtherLongTermDebt,RepaymentsOfLongTermDebt,InterestExpenseDebt,LiabilitiesAndStockholdersEquity,StockholdersEquity
0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0,0,0,0
2011q1,0,0,0,0.0,58.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011q2,0,0,0,0.0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011q3,0,0,0,0.0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011q4,0,0,0,0.0,51.333333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45911000000.0
2012q1,0,0,0,0.0,45.666666666666664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012q2,0,0,0,0.0,44.333333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012q3,0,0,0,0.0,43.666666666666664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012q4,0.19024765190003937,0,0,0.0,46.0,0,0,0,0,0,0,0,0,0,0,0,0,8057000000.0,0,0,10148000000.0,53341000000.0,0,0,0,0,0,0,0,0,0,51203000000.0
2013q1,0,0,0,0.0,42.333333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013q2,0,0,0,0.0,39.333333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013q3,0,0,0,0.0,39.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013q4,0.20131668816877893,0,0,281000000.0,42.333333333333336,92358000000.0,32084000000.0,0,0,2969000000.0,3582000000.0,4172000000.0,0,13568000000.0,0,0,0,8088000000.0,0,0,10611000000.0,52708000000.0,2096000000.0,281000000.0,0,0.0,0,0,0,0,92358000000.0,58256000000.0
2014q1,0.22297085553118146,0,0,0.0,42.0,0,0,0,0,0,0,0,0,0,0,0,0,2047000000.0,0,0,2846000000.0,12764000000.0,0,0,0,0,0,0,0,0,0,0
2014q2,0.214514006392179,0,0,0.0,38.0,0,0,0,0,0,0,0,0,0,0,0,0,4108000000.0,0,0,5705000000.0,26595000000.0,0,0,0,0,0,0,0,0,0,0
2014q3,0.20770857128970327,0,0,0.0,40.666666666666664,0,0,0,0,0,0,0,0,0,0,0,0,6087000000.0,0,0,8547000000.0,41149000000.0,0,0,0,0,0,0,0,0,0,0
2014q4,0.2064972257025237,0,0,14791000000.0,41.333333333333336,91900000000.0,27730000000.0,0,0,2748000000.0,4427000000.0,4273000000.0,0,16011000000.0,0,0,0,8136000000.0,0,0,11537000000.0,55870000000.0,2205000000.0,1596000000.0,13195000000.0,1088000000.0,0,0,0.0,0,91900000000.0,55865000000.0
2015q1,0.23433221187700493,0,0,1121000000.0,41.333333333333336,89566000000.0,26466000000.0,0,0,2775000000.0,3246000000.0,4418000000.0,0,15035000000.0,0,0,0,1953000000.0,0,0,2995000000.0,12781000000.0,2196000000.0,1121000000.0,0,0,0,0,0,0,89566000000.0,54924000000.0
2015q2,0.23413920542038805,0,0,1118000000.0,39.0,90492000000.0,26710000000.0,0,0,2359000000.0,3860000000.0,4818000000.0,0,13529000000.0,0,0,0,3902000000.0,0,0,6082000000.0,25976000000.0,2082000000.0,1118000000.0,0,1095000000.0,0,0,0,0,90492000000.0,57695000000.0
2015q3,0.22276897208278726,0,0,22351000000.0,42.333333333333336,98552000000.0,36205000000.0,0,0,2449000000.0,4101000000.0,4965000000.0,0,15080000000.0,0,0,0,5812000000.0,0,0,9009000000.0,40441000000.0,2160000000.0,1129000000.0,21222000000.0,1096000000.0,0,0,0,0,98552000000.0,57097000000.0
2015q4,0.21909493270707253,0,0,25341000000.0,42.666666666666664,101459000000.0,38320000000.0,0,0,2063000000.0,4787000000.0,5167000000.0,0,15646000000.0,0,0,0,7930000000.0,0,0,12128000000.0,55355000000.0,2188000000.0,2634000000.0,22707000000.0,2602000000.0,0,0,0.0,0,101459000000.0,61085000000.0
2016q1,0.23689972266822362,0,0,28043000000.0,32.666666666666664,105467000000.0,27397000000.0,0,0,3163000000.0,4216000000.0,5751000000.0,0,17526000000.0,0,0,0,2226000000.0,0,0,3246000000.0,13702000000.0,2632000000.0,3594000000.0,24449000000.0,2606000000.0,0,0,0,0,105467000000.0,61174000000.0
2016q2,0.2346612814393244,0,0,31798000000.0,32.333333333333336,109831000000.0,31188000000.0,0,0,3420000000.0,4426000000.0,5800000000.0,0,18711000000.0,0,0,0,4233000000.0,0,0,6391000000.0,27235000000.0,2807000000.0,4560000000.0,27238000000.0,3111000000.0,0,0,0.0,0,109831000000.0,61367000000.0
2016q3,0.21993350847418222,0,0,30804000000.0,30.333333333333332,112217000000.0,36216000000.0,0,0,3181000000.0,4952000000.0,5783000000.0,0,20093000000.0,0,0,0,6239000000.0,0,0,9460000000.0,43013000000.0,1724000000.0,3573000000.0,27231000000.0,3115000000.0,0,0,0.0,0,112217000000.0,63115000000.0
