date,R&D,ROE,DPO,DTE,Trends,Assets,AssetsCurrent,NoncurrentAssets,AccountsPayable,AccountsPayableCurrent,AccountsReceivableNetCurrent,InventoryNet,Liabilities,LiabilitiesCurrent,PreconfirmationCurrentAssets,OtherAssetsNonCurrent,AssetsFairValueDisclosure,SellingGeneralAndAdministrativeExpense,RepaymentsOfNotesPayable,ResearchDevelopmentAndRelatedExpenses,ResearchAndDevelopmentExpense,SalesRevenueNet,DeferredRevenueCurrent,DebtCurrent,LongTermDebt,LongTermDebtCurrent,LongTermDebtNoneCurrent,OtherLongTermDebt,RepaymentsOfLongTermDebt,InterestExpenseDebt,LiabilitiesAndStockholdersEquity,StockholdersEquity
0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0,0,0,0
2011q1,0,0,0,0.0,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011q2,0,0,0,0.0,23.333333333333332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011q3,0,0,0,0.0,22.333333333333332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011q4,0,0,0,0.0,20.666666666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012q1,0,0,0,0.0,20.333333333333332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012q2,0,0,0,0.0,19.666666666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012q3,0,0,0,0.0,18.666666666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012q4,0,0,0,0.0,16.666666666666668,119213000000.0,0,0,0,0,0,0,0,0,0,0,0,23463000000.0,0,0,5816000000.0,0,0,0,0,0,0,0,0,0,0,0
2013q1,0,0,0,0.0,18.666666666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013q2,0,0,0,0.0,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013q3,0,0,0,0.0,18.333333333333332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013q4,0,0,0,43572000000.0,17.0,126223000000.0,51350000000.0,0,0,7461000000.0,10465000000.0,2310000000.0,103294000000.0,40154000000.0,0,0,0,23451000000.0,0,0,5743000000.0,0,12557000000.0,6862000000.0,36710000000.0,3854000000.0,0,0,0,0,126223000000.0,22792000000.0
2014q1,0,0,0,0.0,19.333333333333332,0,0,0,0,0,0,0,0,0,0,0,0,6272000000.0,0,0,1402000000.0,0,0,0,0,0,0,0,0,0,0,0
2014q2,0,0,0,0.0,18.0,0,0,0,0,0,0,0,0,0,0,0,0,11865000000.0,0,0,2763000000.0,0,0,0,0,0,0,0,0,0,0,0
2014q3,0,0,0,0.0,18.666666666666668,0,0,0,0,0,0,0,0,0,0,0,0,17146000000.0,0,0,4117000000.0,0,0,0,0,0,0,0,0,0,0,489000000.0
2014q4,0,0,0,45406000000.0,17.333333333333332,117532000000.0,49422000000.0,0,0,6864000000.0,9090000000.0,2103000000.0,105518000000.0,39600000000.0,0,0,0,23180000000.0,0,0,5437000000.0,0,11877000000.0,5731000000.0,39675000000.0,4601000000.0,0,0,0,0,117532000000.0,11868000000.0
2015q1,0,0,0,42899000000.0,19.0,112037000000.0,46316000000.0,0,0,6314000000.0,8806000000.0,1970000000.0,99747000000.0,35640000000.0,0,0,0,5362000000.0,0,0,1298000000.0,0,12162000000.0,4532000000.0,38367000000.0,4072000000.0,0,0,0,0,112037000000.0,12141000000.0
2015q2,0,0,0,42594000000.0,17.0,112729000000.0,45186000000.0,0,0,5943000000.0,8632000000.0,1912000000.0,98892000000.0,35535000000.0,0,0,0,10541000000.0,0,0,2598000000.0,0,11332000000.0,5329000000.0,37265000000.0,3926000000.0,0,0,0,0,112729000000.0,13684000000.0
2015q3,0,0,0,44945000000.0,17.666666666666668,108649000000.0,42112000000.0,0,0,5166000000.0,7987000000.0,1613000000.0,95198000000.0,33732000000.0,0,0,0,15273000000.0,0,0,3885000000.0,0,10458000000.0,7538000000.0,37407000000.0,5286000000.0,0,0,0,0,108649000000.0,13294000000.0
2015q4,0,0,0,45160000000.0,16.333333333333332,110495000000.0,42504000000.0,0,0,6028000000.0,8333000000.0,1551000000.0,96071000000.0,34269000000.0,0,0,0,20430000000.0,0,0,5247000000.0,0,11021000000.0,6461000000.0,38699000000.0,5271000000.0,0,0,0,0,110495000000.0,14262000000.0
2016q1,0,0,0,50557000000.0,16.666666666666668,118856000000.0,47623000000.0,0,0,5302000000.0,8527000000.0,1690000000.0,103784000000.0,34664000000.0,0,0,0,6012000000.0,0,0,1458000000.0,0,12609000000.0,5303000000.0,45254000000.0,5000000000.0,0,0,0,0,118856000000.0,14925000000.0
2016q2,0,0,0,49111000000.0,15.333333333333334,118056000000.0,43524000000.0,0,0,5484000000.0,8782000000.0,1685000000.0,102167000000.0,33585000000.0,0,0,0,11361000000.0,0,0,2923000000.0,0,11508000000.0,4887000000.0,44224000000.0,4586000000.0,0,0,0,0,118056000000.0,15733000000.0
