date,R&D,ROE,DPO,DTE,Trends,Assets,AssetsCurrent,NoncurrentAssets,AccountsPayable,AccountsPayableCurrent,AccountsReceivableNetCurrent,InventoryNet,Liabilities,LiabilitiesCurrent,PreconfirmationCurrentAssets,OtherAssetsNonCurrent,AssetsFairValueDisclosure,SellingGeneralAndAdministrativeExpense,RepaymentsOfNotesPayable,ResearchDevelopmentAndRelatedExpenses,ResearchAndDevelopmentExpense,SalesRevenueNet,DeferredRevenueCurrent,DebtCurrent,LongTermDebt,LongTermDebtCurrent,LongTermDebtNoneCurrent,OtherLongTermDebt,RepaymentsOfLongTermDebt,InterestExpenseDebt,LiabilitiesAndStockholdersEquity,StockholdersEquity
0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0,0,0,0
2011q1,0,0,0,0.0,30.666666666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011q2,0,0,0,0.0,29.666666666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011q3,0,0,0,0.0,26.333333333333332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011q4,0,0,0,0.0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012q1,0,0,0,0.0,24.666666666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012q2,0,0,0,0.0,20.666666666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012q3,0,0,0,0.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012q4,0,0,0,0.0,28.0,121347000000.0,0,66374000000.0,0,0,0,0,0,0,0,0,0,20869000000.0,0,0,0,0,0,0,0,0,0,0,804000000.0,0,0,0
2013q1,0,0,0,0.0,20.333333333333332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013q2,0,0,0,0.0,19.333333333333332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013q3,0,0,0,0.0,19.333333333333332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013q4,0,0,0,0.0,19.0,132683000000.0,56407000000.0,66463000000.0,0,6266000000.0,11713000000.0,7878000000.0,58630000000.0,25675000000.0,0,0,0,21830000000.0,0,0,0,0,0,0,0,0,0,0,1593000000.0,0,132683000000.0,0
2014q1,0,0,0,0.0,20.333333333333332,0,0,0,0,0,0,0,0,0,0,0,0,5183000000.0,0,0,0,0,0,0,0,0,0,0,21000000.0,0,0,0
2014q2,0,0,0,0.0,19.0,0,0,0,0,0,0,0,0,0,0,0,0,10664000000.0,0,0,0,0,0,0,0,0,0,0,1777000000.0,0,0,0
2014q3,0,0,0,0.0,19.333333333333332,0,0,0,0,0,0,0,0,0,0,0,0,16132000000.0,0,0,0,0,0,0,0,0,0,0,1787000000.0,0,0,0
2014q4,0,0,0,3600000000.0,16.333333333333332,131119000000.0,59311000000.0,64042000000.0,0,7633000000.0,10985000000.0,8184000000.0,61367000000.0,25085000000.0,0,0,0,21954000000.0,0,0,0,0,0,3600000000.0,0,0,0,0,1844000000.0,0,131119000000.0,0
