date,R&D,ROE,DPO,DTE,Trends,Assets,NetIncomeLoss,AssetsCurrent,NoncurrentAssets,AccountsPayable,AccountsPayableCurrent,AccountsReceivableNetCurrent,InventoryNet,CostOfRevenue,Liabilities,LiabilitiesCurrent,PreconfirmationCurrentAssets,OtherAssetsNonCurrent,AssetsFairValueDisclosure,SellingGeneralAndAdministrativeExpense,RepaymentsOfNotesPayable,ResearchDevelopmentAndRelatedExpenses,ResearchAndDevelopmentExpense,SalesRevenueNet,DeferredRevenueCurrent,DebtCurrent,LongTermDebt,LongTermDebtCurrent,LongTermDebtNoneCurrent,OtherLongTermDebt,RepaymentsOfLongTermDebt,InterestExpenseDebt,LiabilitiesAndStockholdersEquity,StockholdersEquity
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0
2011q1,0,0,0,0,36.333333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011q2,0,0,0,0,37.333333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011q3,0,0,0,0,39.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011q4,0,0,0,0,39.666666666666664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012q1,0,0,0,0,46.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012q2,0,0,0,0,50.666666666666664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012q3,0,0,0,0,49.666666666666664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012q4,0,0,0,0,47.333333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013q1,0,0,0,0,48.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013q2,0,0,0,0,46.333333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013q3,0,0,0,0,48.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013q4,0,0,0,0,51.333333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014q1,0,0,0,0,52.666666666666664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014q2,0,0,0,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014q3,0,0,0,0,51.333333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014q4,0,0,0,0,52.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015q1,0,0,0,0,51.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015q2,0,0,0,0,49.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015q3,0,0,0,0,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015q4,0,0,0,0,60.666666666666664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016q1,0,0,0,0,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016q2,0,0,0,0,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016q3,0,0,0,0,57.666666666666664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016q4,0,0,0,0,62.666666666666664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017q1,0,0,0,0,54.666666666666664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017q2,0,0.0,0,0.0,51.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12407000000.0
2017q3,0,0,0,0,55.666666666666664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017q4,0,0,0,0,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018q1,0,0,0,0,55.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018q2,0,0.19700366897676314,0,0.0,51.333333333333336,0,1933000000.0,0,0,0,0,0,0,0,0,0,0,0,0,11511000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,9812000000.0
2018q3,0,0.12144128113879003,0,0.0,73.33333333333333,0,1092000000.0,0,0,0,0,0,0,0,0,0,0,0,0,3063000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8992000000.0
2018q4,0,0.22213311948676825,0,0.0,61.333333333333336,0,1939000000.0,0,0,0,0,0,0,0,0,0,0,0,0,6205000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8729000000.0
2019q1,0,0.3392478518022542,0,0.0,56.0,0,3040000000.0,0,0,0,0,0,0,0,0,0,0,0,0,9296000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8961000000.0
2019q2,0,0.4456858407079646,0,0.3838495575221239,55.333333333333336,23717000000.0,4029000000.0,16525000000.0,0,0,2612000000.0,4272000000.0,0,0,0,7866000000.0,0,0,0,12702000000.0,0,0,0,0,0,0,3470000000.0,6000000.0,0,0,0,0,23717000000.0,9040000000.0
2019q3,0,0.14858695652173914,0,0.0,60.666666666666664,26249000000.0,1367000000.0,16228000000.0,0,0,2716000000.0,4656000000.0,0,0,0,8070000000.0,0,0,0,3328000000.0,0,0,0,0,0,0,0,6000000.0,0,0,0,0,26249000000.0,9200000000.0
2019q4,0,0.2654261576302,0,0.0,66.33333333333333,26602000000.0,2482000000.0,16369000000.0,0,0,2627000000.0,4792000000.0,0,0,0,8264000000.0,0,0,0,6652000000.0,0,0,0,0,0,0,0,6000000.0,0,0,0,0,26602000000.0,9351000000.0
2020q1,0,0.09364289662797126,0,0.0,56.0,26220000000.0,847000000.0,15744000000.0,0,0,2221000000.0,4473000000.0,0,0,0,8280000000.0,0,0,0,9935000000.0,0,0,0,0,0,0,0,4000000.0,0,0,0,0,26220000000.0,9045000000.0
2020q2,0,0.31520794537554314,0,1.1680943513345747,60.0,31342000000.0,2539000000.0,20556000000.0,0,0,2248000000.0,2749000000.0,0,0,0,8284000000.0,0,0,0,13126000000.0,0,0,0,0,0,0,9409000000.0,3000000.0,0,0,0,0,31342000000.0,8055000000.0
2020q3,0,0.16457068516912401,0,0.0,62.333333333333336,33258000000.0,1518000000.0,21937000000.0,0,0,1983000000.0,3813000000.0,0,0,0,8619000000.0,0,0,0,2975000000.0,0,0,0,0,0,0,0,1000000.0,0,0,0,0,33258000000.0,9224000000.0
2020q4,0,0.2602443609022556,0,0.0,65.0,34836000000.0,2769000000.0,23607000000.0,0,0,2154000000.0,3713000000.0,0,0,0,8871000000.0,0,0,0,6242000000.0,0,0,0,0,0,0,0,0.0,0,0,0,0,34836000000.0,10640000000.0
2021q1,0,0.12144832788534071,0,0.0,60.0,36185000000.0,1449000000.0,24700000000.0,0,0,2257000000.0,3669000000.0,0,0,0,8894000000.0,0,0,0,9283000000.0,0,0,0,0,0,0,0,0.0,0,0,0,0,36185000000.0,11931000000.0
2021q2,0,0.4485783661001018,0,0.7372914545312133,58.0,37740000000.0,5727000000.0,26291000000.0,0,0,2836000000.0,4463000000.0,0,0,0,9674000000.0,0,0,0,13025000000.0,0,0,0,0,0,0,9413000000.0,0.0,0,0,0,0,37740000000.0,12767000000.0
2021q3,0,0.13065606916265773,0,0.0,64.0,37917000000.0,1874000000.0,26390000000.0,0,0,2135000000.0,4341000000.0,0,0,0,8269000000.0,0,0,0,3572000000.0,0,0,0,0,0,0,0,0.0,0,0,0,0,37917000000.0,14343000000.0
2021q4,0,0,0,0,55.666666666666664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
