date,R&D,ROE,DPO,DTE,Trends,Assets,AssetsCurrent,NoncurrentAssets,AccountsPayable,AccountsPayableCurrent,AccountsReceivableNetCurrent,InventoryNet,Liabilities,LiabilitiesCurrent,PreconfirmationCurrentAssets,OtherAssetsNonCurrent,AssetsFairValueDisclosure,SellingGeneralAndAdministrativeExpense,RepaymentsOfNotesPayable,ResearchDevelopmentAndRelatedExpenses,ResearchAndDevelopmentExpense,SalesRevenueNet,DeferredRevenueCurrent,DebtCurrent,LongTermDebt,LongTermDebtCurrent,LongTermDebtNoneCurrent,OtherLongTermDebt,RepaymentsOfLongTermDebt,InterestExpenseDebt,LiabilitiesAndStockholdersEquity,StockholdersEquity
0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0,0,0,0
2020q4,0,0,0,100000000.0,0,116764000000.0,39165000000.0,0,0,4908000000.0,7132000000.0,1839000000.0,87563000000.0,39869000000.0,0,0,0,4509000000.0,0,0,0,0,12833000000.0,100000000.0,0,0,0,0,0,0,116764000000.0,29201000000.0
2021q3,0,0,0,0.0,0,120706000000.0,29967000000.0,0,0,4248000000.0,6609000000.0,1891000000.0,92232000000.0,35832000000.0,0,0,0,3524000000.0,0,0,4907000000.0,0,12264000000.0,0,0,0,0,0,0,0,120706000000.0,28474000000.0
2020q3,0,0,0,0.0,0,116384000000.0,0,0,0,0,0,0,88535000000.0,0,0,0,0,3367000000.0,0,0,4722000000.0,0,0,0,0,0,0,0,0,0,116384000000.0,27849000000.0
2019q4,0,0,0,600000000.0,0,110122000000.0,0,0,0,0,0,0,84179000000.0,0,0,0,0,4365000000.0,0,0,0,0,0,600000000.0,0,0,0,0,0,0,110122000000.0,25943000000.0
2021q2,0,0,0,0.0,0,119759000000.0,0,0,0,0,0,0,90603000000.0,0,0,0,0,2337000000.0,0,0,0,0,0,0,0,0,0,0,0,0,119759000000.0,29156000000.0
2020q2,0,0,0,0.0,0,113337000000.0,0,0,0,0,0,0,86394000000.0,0,0,0,0,2258000000.0,0,0,0,0,0,0,0,0,0,0,0,0,113337000000.0,26943000000.0
2021q1,0,0,0,0.0,0,117032000000.0,0,0,0,0,0,0,88763000000.0,0,0,0,0,1163000000.0,0,0,0,0,0,0,0,0,0,0,0,0,117032000000.0,28269000000.0
2020q1,0,0,0,0.0,0,109436000000.0,0,0,0,0,0,0,84232000000.0,0,0,0,0,1137000000.0,0,0,0,0,0,0,0,0,0,0,0,0,109436000000.0,25204000000.0
2019q3,0,0,0,0.0,0,110241000000.0,0,0,0,0,0,0,84634000000.0,0,0,0,0,3280000000.0,0,0,0,0,0,0,0,0,0,0,0,0,110241000000.0,25607000000.0
2019q2,0,0,0,0.0,0,108572000000.0,0,0,0,0,0,0,83251000000.0,0,0,0,0,2182000000.0,0,0,0,0,0,0,0,0,0,0,0,0,108572000000.0,25321000000.0
2019q1,0,0,0,0.0,0,107246000000.0,0,0,0,0,0,0,82906000000.0,0,0,0,0,1057000000.0,0,0,0,0,0,0,0,0,0,0,0,0,107246000000.0,24340000000.0
2018q4,0,0,0,600000000.0,0,104233000000.0,0,0,0,0,0,0,81339000000.0,0,0,0,0,4297000000.0,0,0,0,0,0,600000000.0,0,0,0,0,0,0,104233000000.0,22894000000.0
2017q4,0,0,0,600000000.0,0,103483000000.0,0,0,0,0,0,0,79752000000.0,0,0,0,0,4170000000.0,0,0,0,0,0,600000000.0,0,0,0,0,0,0,103483000000.0,23731000000.0
2018q1,0,0,0,0.0,0,103676000000.0,0,0,0,0,0,0,80697000000.0,0,0,0,0,1062000000.0,0,0,0,0,0,0,0,0,0,0,0,0,103676000000.0,22979000000.0
2018q2,0,0,0,0.0,0,103523000000.0,0,0,0,0,0,0,80900000000.0,0,0,0,0,2175000000.0,0,0,0,0,0,0,0,0,0,0,0,0,103523000000.0,22623000000.0
2018q3,0,0,0,0.0,0,104390000000.0,0,0,0,0,0,0,81930000000.0,0,0,0,0,3234000000.0,0,0,0,0,0,0,0,0,0,0,0,0,104390000000.0,22460000000.0
2016q4,0,0,0,550000000.0,0,100245000000.0,0,0,0,0,0,0,77024000000.0,0,0,0,0,4154000000.0,0,0,0,0,0,550000000.0,0,0,0,0,0,0,100245000000.0,23221000000.0
2017q1,0,0,0,0.0,0,29453000000.0,0,0,0,0,0,0,49876000000.0,0,0,0,0,996000000.0,0,0,0,0,0,0,0,0,0,0,0,0,29453000000.0,7476000000.0
2017q2,0,0,0,0.0,0,102669000000.0,0,0,0,0,0,0,78811000000.0,0,0,0,0,1045000000.0,0,0,0,0,0,0,0,0,0,0,0,0,102669000000.0,23858000000.0
2017q3,0,0,0,0.0,0,104311000000.0,0,0,0,0,0,0,80573000000.0,0,0,0,0,3086000000.0,0,0,0,0,0,0,0,0,0,0,0,0,104311000000.0,23738000000.0
2015q4,0,0,0,500000000.0,0,68429000000.0,0,0,0,0,0,0,48513000000.0,0,0,0,0,2838000000.0,0,0,0,0,0,500000000.0,0,0,0,0,0,0,68429000000.0,23586000000.0
2016q1,0,0,0,0.0,0,69703000000.0,0,0,0,0,0,0,49429000000.0,0,0,0,0,704000000.0,0,0,0,0,0,0,0,0,0,0,0,0,69703000000.0,20274000000.0
2016q2,0,0,0,0.0,0,70533000000.0,0,0,0,0,0,0,49812000000.0,0,0,0,0,1447000000.0,0,0,0,0,0,0,0,0,0,0,0,0,70533000000.0,20721000000.0
2016q3,0,0,0,0.0,0,70736000000.0,0,0,0,0,0,0,50214000000.0,0,0,0,0,3106000000.0,0,0,0,0,0,0,0,0,0,0,0,0,70736000000.0,7996000000.0
2014q4,0,0,0,500000000.0,0,103078000000.0,0,0,0,0,0,0,78242000000.0,0,0,0,0,2743000000.0,0,0,0,0,0,500000000.0,0,0,0,0,0,369000000.0,103078000000.0,20369000000.0
2015q1,0,0,0,0.0,0,102691000000.0,0,0,0,0,0,0,77844000000.0,0,0,0,0,698000000.0,0,0,0,0,0,0,0,0,0,0,0,92000000.0,102691000000.0,24847000000.0
2015q2,0,0,0,0.0,0,101664000000.0,0,0,0,0,0,0,77543000000.0,0,0,0,0,1419000000.0,0,0,0,0,0,0,0,0,0,0,0,184000000.0,101664000000.0,24121000000.0
2015q3,0,0,0,0.0,0,102110000000.0,0,0,0,0,0,0,78077000000.0,0,0,0,0,3055000000.0,0,0,0,0,0,0,0,0,0,0,0,278000000.0,102110000000.0,24033000000.0
2013q4,0,0,0,100000000.0,0,103812000000.0,0,0,0,0,0,0,79016000000.0,0,0,0,0,2570000000.0,0,0,0,0,0,100000000.0,0,0,0,0,0,361000000.0,103812000000.0,24796000000.0
2014q1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92000000.0,0,650000000.0
2014q2,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184000000.0,0,1525000000.0
2014q3,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277000000.0,0,2275000000.0
2012q4,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378000000.0,0,1450000000.0
