date,R&D,ROE,DPO,DTE,Trends,Assets,NetIncomeLoss,AssetsCurrent,NoncurrentAssets,AccountsPayable,AccountsPayableCurrent,AccountsReceivableNetCurrent,InventoryNet,CostOfRevenue,Liabilities,LiabilitiesCurrent,PreconfirmationCurrentAssets,OtherAssetsNonCurrent,AssetsFairValueDisclosure,SellingGeneralAndAdministrativeExpense,RepaymentsOfNotesPayable,ResearchDevelopmentAndRelatedExpenses,ResearchAndDevelopmentExpense,SalesRevenueNet,DeferredRevenueCurrent,DebtCurrent,LongTermDebt,LongTermDebtCurrent,LongTermDebtNoneCurrent,OtherLongTermDebt,RepaymentsOfLongTermDebt,InterestExpenseDebt,LiabilitiesAndStockholdersEquity,StockholdersEquity
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0,0,0,0,0
2011q1,0,0,0,0,2.6666666666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011q2,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011q3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011q4,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012q1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012q2,0,0,0,0,15.333333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012q3,0,0,0,0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012q4,0,0,0,0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013q1,0,0,0,0,1.6666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013q2,0,0,0,0,1.6666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013q3,0.0,14988.235294117647,0,0.0,14.333333333333334,0,2548000000.0,0,0,0,0,0,0,0,0,0,0,0,0,17543000000.0,0,0,0,72217000000.0,0,0,0,0,0,0,0,0,0,170000.0
2013q4,0.0,0,0,0,13.666666666666666,0,723000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18329000000.0,0,0,0,0,0,0,0,0,0,0
