Category: All categories

Month,3M: (United States)
2004-01,43
2004-02,38
2004-03,35
2004-04,36
2004-05,35
2004-06,39
2004-07,39
2004-08,48
2004-09,42
2004-10,35
2004-11,26
2004-12,35
2005-01,26
2005-02,36
2005-03,35
2005-04,28
2005-05,35
2005-06,39
2005-07,38
2005-08,38
2005-09,34
2005-10,38
2005-11,37
2005-12,33
2006-01,35
2006-02,39
2006-03,32
2006-04,31
2006-05,37
2006-06,36
2006-07,35
2006-08,35
2006-09,31
2006-10,29
2006-11,29
2006-12,26
2007-01,31
2007-02,30
2007-03,31
2007-04,29
2007-05,28
2007-06,33
2007-07,33
2007-08,34
2007-09,31
2007-10,34
2007-11,34
2007-12,26
2008-01,31
2008-02,30
2008-03,32
2008-04,30
2008-05,30
2008-06,31
2008-07,32
2008-08,31
2008-09,31
2008-10,31
2008-11,26
2008-12,28
2009-01,30
2009-02,29
2009-03,30
2009-04,33
2009-05,32
2009-06,32
2009-07,33
2009-08,31
2009-09,31
2009-10,31
2009-11,26
2009-12,26
2010-01,28
2010-02,28
2010-03,32
2010-04,29
2010-05,31
2010-06,30
2010-07,27
2010-08,30
2010-09,25
2010-10,27
2010-11,29
2010-12,24
2011-01,27
2011-02,27
2011-03,28
2011-04,25
2011-05,27
2011-06,27
2011-07,28
2011-08,30
2011-09,27
2011-10,24
2011-11,23
2011-12,24
2012-01,27
2012-02,25
2012-03,26
2012-04,27
2012-05,28
2012-06,25
2012-07,26
2012-08,28
2012-09,24
2012-10,28
2012-11,25
2012-12,22
2013-01,29
2013-02,27
2013-03,26
2013-04,27
2013-05,29
2013-06,27
2013-07,28
2013-08,27
2013-09,28
2013-10,27
2013-11,26
2013-12,23
2014-01,28
2014-02,26
2014-03,27
2014-04,27
2014-05,27
2014-06,27
2014-07,30
2014-08,29
2014-09,28
2014-10,29
2014-11,27
2014-12,24
2015-01,28
2015-02,27
2015-03,28
2015-04,27
2015-05,27
2015-06,30
2015-07,30
2015-08,31
2015-09,31
2015-10,29
2015-11,24
2015-12,25
2016-01,25
2016-02,26
2016-03,27
2016-04,27
2016-05,27
2016-06,27
2016-07,25
2016-08,28
2016-09,26
2016-10,25
2016-11,25
2016-12,24
2017-01,27
2017-02,27
2017-03,28
2017-04,28
2017-05,28
2017-06,28
2017-07,29
2017-08,30
2017-09,27
2017-10,28
2017-11,26
2017-12,26
2018-01,29
2018-02,29
2018-03,29
2018-04,29
2018-05,30
2018-06,30
2018-07,29
2018-08,30
2018-09,26
2018-10,28
2018-11,27
2018-12,25
2019-01,31
2019-02,30
2019-03,31
2019-04,34
2019-05,32
2019-06,34
2019-07,38
2019-08,30
2019-09,28
2019-10,30
2019-11,28
2019-12,28
2020-01,42
2020-02,57
2020-03,90
2020-04,100
2020-05,48
2020-06,45
2020-07,57
2020-08,40
2020-09,36
2020-10,36
2020-11,32
2020-12,32
2021-01,35
2021-02,34
2021-03,33
2021-04,33
2021-05,31
2021-06,31
2021-07,44
2021-08,36
2021-09,31
2021-10,27
2021-11,26
2021-12,27
2022-01,37
2022-02,31
