Category: All categories

Month,Apple: (United States)
2004-01,20
2004-02,18
2004-03,17
2004-04,17
2004-05,18
2004-06,20
2004-07,20
2004-08,22
2004-09,25
2004-10,28
2004-11,25
2004-12,26
2005-01,26
2005-02,23
2005-03,22
2005-04,22
2005-05,24
2005-06,25
2005-07,23
2005-08,24
2005-09,30
2005-10,34
2005-11,31
2005-12,32
2006-01,27
2006-02,24
2006-03,22
2006-04,24
2006-05,23
2006-06,24
2006-07,25
2006-08,27
2006-09,33
2006-10,32
2006-11,30
2006-12,31
2007-01,33
2007-02,26
2007-03,25
2007-04,24
2007-05,24
2007-06,29
2007-07,28
2007-08,29
2007-09,40
2007-10,39
2007-11,38
2007-12,35
2008-01,34
2008-02,31
2008-03,30
2008-04,28
2008-05,28
2008-06,30
2008-07,35
2008-08,30
2008-09,38
2008-10,39
2008-11,36
2008-12,35
2009-01,29
2009-02,27
2009-03,29
2009-04,26
2009-05,27
2009-06,31
2009-07,28
2009-08,29
2009-09,37
2009-10,37
2009-11,36
2009-12,34
2010-01,40
2010-02,28
2010-03,26
2010-04,32
2010-05,29
2010-06,37
2010-07,34
2010-08,32
2010-09,40
2010-10,40
2010-11,38
2010-12,38
2011-01,35
2011-02,35
2011-03,40
2011-04,35
2011-05,35
2011-06,36
2011-07,36
2011-08,38
2011-09,42
2011-10,66
2011-11,50
2011-12,49
2012-01,40
2012-02,37
2012-03,44
2012-04,36
2012-05,35
2012-06,39
2012-07,37
2012-08,39
2012-09,65
2012-10,52
2012-11,50
2012-12,48
2013-01,39
2013-02,35
2013-03,35
2013-04,33
2013-05,33
2013-06,38
2013-07,37
2013-08,37
2013-09,58
2013-10,50
2013-11,49
2013-12,44
2014-01,37
2014-02,34
2014-03,33
2014-04,32
2014-05,33
2014-06,34
2014-07,33
2014-08,37
2014-09,68
2014-10,53
2014-11,48
2014-12,43
2015-01,37
2015-02,34
2015-03,39
2015-04,40
2015-05,37
2015-06,40
2015-07,42
2015-08,42
2015-09,60
2015-10,53
2015-11,51
2015-12,49
2016-01,41
2016-02,38
2016-03,39
2016-04,39
2016-05,38
2016-06,38
2016-07,38
2016-08,40
2016-09,61
2016-10,55
2016-11,51
2016-12,50
2017-01,44
2017-02,41
2017-03,39
2017-04,40
2017-05,40
2017-06,42
2017-07,42
2017-08,43
2017-09,59
2017-10,54
2017-11,57
2017-12,59
2018-01,50
2018-02,45
2018-03,44
2018-04,42
2018-05,43
2018-06,44
2018-07,45
2018-08,46
2018-09,63
2018-10,56
2018-11,59
2018-12,57
2019-01,49
2019-02,42
2019-03,44
2019-04,43
2019-05,42
2019-06,46
2019-07,44
2019-08,51
2019-09,100
2019-10,59
2019-11,63
2019-12,64
2020-01,49
2020-02,44
2020-03,45
2020-04,50
2020-05,51
2020-06,52
2020-07,54
2020-08,59
2020-09,66
2020-10,65
2020-11,62
2020-12,65
2021-01,54
2021-02,47
2021-03,46
2021-04,46
2021-05,47
2021-06,48
2021-07,50
2021-08,50
2021-09,62
2021-10,58
2021-11,58
2021-12,57
2022-01,47
2022-02,44
