Category: All categories

Month,Boeing: (United States)
2004-01,31
2004-02,29
2004-03,33
2004-04,29
2004-05,32
2004-06,33
2004-07,27
2004-08,33
2004-09,30
2004-10,27
2004-11,27
2004-12,28
2005-01,33
2005-02,32
2005-03,36
2005-04,36
2005-05,33
2005-06,34
2005-07,30
2005-08,28
2005-09,31
2005-10,28
2005-11,32
2005-12,30
2006-01,27
2006-02,27
2006-03,23
2006-04,31
2006-05,29
2006-06,30
2006-07,32
2006-08,29
2006-09,29
2006-10,26
2006-11,29
2006-12,28
2007-01,28
2007-02,29
2007-03,31
2007-04,29
2007-05,31
2007-06,33
2007-07,47
2007-08,29
2007-09,27
2007-10,29
2007-11,24
2007-12,23
2008-01,28
2008-02,26
2008-03,31
2008-04,26
2008-05,24
2008-06,26
2008-07,27
2008-08,24
2008-09,29
2008-10,28
2008-11,20
2008-12,19
2009-01,22
2009-02,21
2009-03,22
2009-04,21
2009-05,20
2009-06,27
2009-07,22
2009-08,22
2009-09,21
2009-10,22
2009-11,19
2009-12,32
2010-01,20
2010-02,22
2010-03,23
2010-04,22
2010-05,22
2010-06,22
2010-07,22
2010-08,20
2010-09,21
2010-10,19
2010-11,20
2010-12,18
2011-01,21
2011-02,24
2011-03,23
2011-04,23
2011-05,22
2011-06,24
2011-07,23
2011-08,23
2011-09,25
2011-10,21
2011-11,21
2011-12,20
2012-01,21
2012-02,22
2012-03,20
2012-04,21
2012-05,22
2012-06,20
2012-07,21
2012-08,19
2012-09,19
2012-10,18
2012-11,19
2012-12,16
2013-01,26
2013-02,19
2013-03,19
2013-04,20
2013-05,20
2013-06,19
2013-07,33
2013-08,18
2013-09,18
2013-10,19
2013-11,24
2013-12,18
2014-01,22
2014-02,19
2014-03,35
2014-04,21
2014-05,18
2014-06,19
2014-07,27
2014-08,18
2014-09,19
2014-10,19
2014-11,15
2014-12,16
2015-01,18
2015-02,18
2015-03,19
2015-04,19
2015-05,18
2015-06,23
2015-07,20
2015-08,21
2015-09,20
2015-10,19
2015-11,16
2015-12,17
2016-01,18
2016-02,19
2016-03,18
2016-04,18
2016-05,17
2016-06,17
2016-07,18
2016-08,17
2016-09,16
2016-10,16
2016-11,16
2016-12,22
2017-01,18
2017-02,20
2017-03,17
2017-04,18
2017-05,16
2017-06,19
2017-07,18
2017-08,19
2017-09,17
2017-10,19
2017-11,17
2017-12,18
2018-01,24
2018-02,22
2018-03,23
2018-04,23
2018-05,22
2018-06,21
2018-07,22
2018-08,22
2018-09,21
2018-10,22
2018-11,21
2018-12,20
2019-01,22
2019-02,24
2019-03,100
2019-04,44
2019-05,31
2019-06,31
2019-07,29
2019-08,26
2019-09,23
2019-10,27
2019-11,25
2019-12,33
2020-01,40
2020-02,25
2020-03,64
2020-04,48
2020-05,34
2020-06,40
2020-07,28
2020-08,23
2020-09,22
2020-10,22
2020-11,23
2020-12,23
2021-01,24
2021-02,26
2021-03,22
2021-04,20
2021-05,18
2021-06,19
2021-07,19
2021-08,19
2021-09,17
2021-10,16
2021-11,15
2021-12,15
2022-01,16
2022-02,16
