Category: All categories

Month,Caterpillar: (United States)
2004-01,36
2004-02,32
2004-03,40
2004-04,45
2004-05,47
2004-06,53
2004-07,42
2004-08,50
2004-09,56
2004-10,57
2004-11,48
2004-12,36
2005-01,34
2005-02,37
2005-03,45
2005-04,55
2005-05,45
2005-06,51
2005-07,50
2005-08,49
2005-09,50
2005-10,50
2005-11,38
2005-12,34
2006-01,34
2006-02,49
2006-03,43
2006-04,55
2006-05,59
2006-06,47
2006-07,45
2006-08,51
2006-09,49
2006-10,50
2006-11,33
2006-12,28
2007-01,40
2007-02,37
2007-03,34
2007-04,50
2007-05,43
2007-06,47
2007-07,44
2007-08,54
2007-09,54
2007-10,50
2007-11,36
2007-12,30
2008-01,28
2008-02,36
2008-03,35
2008-04,49
2008-05,48
2008-06,41
2008-07,42
2008-08,49
2008-09,64
2008-10,55
2008-11,39
2008-12,37
2009-01,45
2009-02,46
2009-03,53
2009-04,54
2009-05,54
2009-06,47
2009-07,41
2009-08,53
2009-09,63
2009-10,57
2009-11,47
2009-12,39
2010-01,38
2010-02,40
2010-03,52
2010-04,57
2010-05,51
2010-06,50
2010-07,45
2010-08,52
2010-09,58
2010-10,45
2010-11,45
2010-12,35
2011-01,38
2011-02,43
2011-03,50
2011-04,55
2011-05,52
2011-06,55
2011-07,52
2011-08,66
2011-09,69
2011-10,61
2011-11,52
2011-12,42
2012-01,47
2012-02,56
2012-03,55
2012-04,70
2012-05,65
2012-06,56
2012-07,56
2012-08,64
2012-09,65
2012-10,61
2012-11,46
2012-12,34
2013-01,46
2013-02,42
2013-03,48
2013-04,59
2013-05,63
2013-06,58
2013-07,57
2013-08,65
2013-09,78
2013-10,65
2013-11,51
2013-12,39
2014-01,43
2014-02,43
2014-03,44
2014-04,58
2014-05,65
2014-06,56
2014-07,63
2014-08,69
2014-09,100
2014-10,69
2014-11,50
2014-12,38
2015-01,42
2015-02,42
2015-03,48
2015-04,61
2015-05,64
2015-06,66
2015-07,61
2015-08,68
2015-09,79
2015-10,64
2015-11,51
2015-12,41
2016-01,43
2016-02,50
2016-03,52
2016-04,65
2016-05,67
2016-06,56
2016-07,54
2016-08,64
2016-09,70
2016-10,65
2016-11,49
2016-12,43
2017-01,47
2017-02,46
2017-03,62
2017-04,61
2017-05,62
2017-06,57
2017-07,65
2017-08,80
2017-09,79
2017-10,66
2017-11,49
2017-12,45
2018-01,53
2018-02,45
2018-03,51
2018-04,65
2018-05,65
2018-06,76
2018-07,77
2018-08,90
2018-09,92
2018-10,75
2018-11,52
2018-12,45
2019-01,47
2019-02,47
2019-03,53
2019-04,67
2019-05,68
2019-06,69
2019-07,80
2019-08,97
2019-09,90
2019-10,72
2019-11,48
2019-12,42
2020-01,42
2020-02,47
2020-03,55
2020-04,73
2020-05,72
2020-06,71
2020-07,80
2020-08,88
2020-09,84
2020-10,79
2020-11,46
2020-12,43
2021-01,41
2021-02,44
2021-03,51
2021-04,68
2021-05,70
2021-06,77
2021-07,72
2021-08,80
2021-09,84
2021-10,66
2021-11,52
2021-12,41
2022-01,40
2022-02,44
