Category: All categories

Month,Chevron: (United States)
2004-01,17
2004-02,22
2004-03,21
2004-04,20
2004-05,23
2004-06,29
2004-07,25
2004-08,34
2004-09,30
2004-10,26
2004-11,28
2004-12,22
2005-01,26
2005-02,25
2005-03,24
2005-04,21
2005-05,30
2005-06,34
2005-07,35
2005-08,34
2005-09,40
2005-10,37
2005-11,27
2005-12,24
2006-01,31
2006-02,34
2006-03,32
2006-04,29
2006-05,34
2006-06,29
2006-07,31
2006-08,26
2006-09,37
2006-10,42
2006-11,26
2006-12,29
2007-01,35
2007-02,32
2007-03,32
2007-04,34
2007-05,34
2007-06,33
2007-07,40
2007-08,33
2007-09,31
2007-10,37
2007-11,32
2007-12,29
2008-01,36
2008-02,33
2008-03,31
2008-04,38
2008-05,42
2008-06,40
2008-07,39
2008-08,39
2008-09,44
2008-10,38
2008-11,35
2008-12,38
2009-01,36
2009-02,35
2009-03,34
2009-04,29
2009-05,34
2009-06,32
2009-07,37
2009-08,32
2009-09,37
2009-10,32
2009-11,30
2009-12,35
2010-01,33
2010-02,32
2010-03,29
2010-04,29
2010-05,31
2010-06,33
2010-07,29
2010-08,31
2010-09,28
2010-10,29
2010-11,29
2010-12,43
2011-01,39
2011-02,37
2011-03,35
2011-04,36
2011-05,35
2011-06,38
2011-07,37
2011-08,38
2011-09,38
2011-10,38
2011-11,39
2011-12,52
2012-01,44
2012-02,41
2012-03,40
2012-04,40
2012-05,48
2012-06,51
2012-07,51
2012-08,71
2012-09,56
2012-10,54
2012-11,51
2012-12,50
2013-01,64
2013-02,63
2013-03,68
2013-04,74
2013-05,79
2013-06,87
2013-07,100
2013-08,99
2013-09,88
2013-10,80
2013-11,81
2013-12,82
2014-01,84
2014-02,81
2014-03,83
2014-04,85
2014-05,79
2014-06,77
2014-07,84
2014-08,87
2014-09,77
2014-10,71
2014-11,68
2014-12,69
2015-01,72
2015-02,63
2015-03,62
2015-04,61
2015-05,61
2015-06,65
2015-07,70
2015-08,74
2015-09,64
2015-10,59
2015-11,56
2015-12,56
2016-01,57
2016-02,58
2016-03,57
2016-04,55
2016-05,53
2016-06,53
2016-07,57
2016-08,51
2016-09,48
2016-10,44
2016-11,46
2016-12,45
2017-01,48
2017-02,43
2017-03,44
2017-04,45
2017-05,44
2017-06,48
2017-07,46
2017-08,48
2017-09,47
2017-10,43
2017-11,42
2017-12,40
2018-01,44
2018-02,42
2018-03,38
2018-04,41
2018-05,40
2018-06,43
2018-07,44
2018-08,45
2018-09,39
2018-10,39
2018-11,42
2018-12,36
2019-01,39
2019-02,37
2019-03,39
2019-04,46
2019-05,42
2019-06,44
2019-07,45
2019-08,45
2019-09,40
2019-10,37
2019-11,39
2019-12,37
2020-01,40
2020-02,36
2020-03,54
2020-04,51
2020-05,43
2020-06,43
2020-07,45
2020-08,39
2020-09,37
2020-10,37
2020-11,35
2020-12,38
2021-01,37
2021-02,44
2021-03,41
2021-04,39
2021-05,41
2021-06,38
2021-07,39
2021-08,38
2021-09,36
2021-10,35
2021-11,33
2021-12,33
2022-01,34
2022-02,36
