Category: All categories

Month,Cisco: (United States)
2004-01,93
2004-02,90
2004-03,96
2004-04,91
2004-05,91
2004-06,90
2004-07,96
2004-08,100
2004-09,90
2004-10,84
2004-11,82
2004-12,76
2005-01,84
2005-02,91
2005-03,81
2005-04,83
2005-05,86
2005-06,87
2005-07,84
2005-08,88
2005-09,77
2005-10,78
2005-11,76
2005-12,69
2006-01,77
2006-02,74
2006-03,75
2006-04,73
2006-05,72
2006-06,70
2006-07,65
2006-08,72
2006-09,66
2006-10,71
2006-11,64
2006-12,61
2007-01,68
2007-02,72
2007-03,71
2007-04,64
2007-05,69
2007-06,72
2007-07,68
2007-08,72
2007-09,67
2007-10,71
2007-11,67
2007-12,56
2008-01,66
2008-02,69
2008-03,62
2008-04,65
2008-05,61
2008-06,60
2008-07,66
2008-08,61
2008-09,63
2008-10,59
2008-11,57
2008-12,54
2009-01,60
2009-02,63
2009-03,67
2009-04,65
2009-05,57
2009-06,61
2009-07,59
2009-08,58
2009-09,62
2009-10,61
2009-11,59
2009-12,55
2010-01,61
2010-02,64
2010-03,68
2010-04,67
2010-05,62
2010-06,67
2010-07,59
2010-08,59
2010-09,60
2010-10,59
2010-11,61
2010-12,55
2011-01,60
2011-02,61
2011-03,59
2011-04,57
2011-05,58
2011-06,60
2011-07,59
2011-08,56
2011-09,56
2011-10,55
2011-11,52
2011-12,48
2012-01,54
2012-02,54
2012-03,54
2012-04,50
2012-05,55
2012-06,51
2012-07,52
2012-08,54
2012-09,51
2012-10,51
2012-11,48
2012-12,43
2013-01,51
2013-02,52
2013-03,50
2013-04,50
2013-05,49
2013-06,49
2013-07,49
2013-08,48
2013-09,47
2013-10,51
2013-11,45
2013-12,41
2014-01,48
2014-02,49
2014-03,47
2014-04,49
2014-05,47
2014-06,47
2014-07,47
2014-08,48
2014-09,46
2014-10,47
2014-11,42
2014-12,40
2015-01,46
2015-02,48
2015-03,49
2015-04,46
2015-05,47
2015-06,49
2015-07,48
2015-08,47
2015-09,46
2015-10,45
2015-11,42
2015-12,38
2016-01,39
2016-02,43
2016-03,41
2016-04,39
2016-05,39
2016-06,42
2016-07,37
2016-08,43
2016-09,36
2016-10,37
2016-11,37
2016-12,32
2017-01,40
2017-02,38
2017-03,39
2017-04,36
2017-05,37
2017-06,38
2017-07,36
2017-08,37
2017-09,33
2017-10,34
2017-11,34
2017-12,28
2018-01,35
2018-02,36
2018-03,37
2018-04,34
2018-05,35
2018-06,35
2018-07,33
2018-08,35
2018-09,31
2018-10,34
2018-11,30
2018-12,27
2019-01,34
2019-02,36
2019-03,34
2019-04,35
2019-05,33
2019-06,34
2019-07,33
2019-08,33
2019-09,32
2019-10,33
2019-11,30
2019-12,26
2020-01,30
2020-02,32
2020-03,35
2020-04,29
2020-05,27
2020-06,29
2020-07,29
2020-08,30
2020-09,29
2020-10,26
2020-11,22
2020-12,22
2021-01,23
2021-02,25
2021-03,25
2021-04,26
2021-05,24
2021-06,26
2021-07,25
2021-08,25
2021-09,26
2021-10,19
2021-11,18
2021-12,18
2022-01,18
2022-02,23
