Category: All categories

Month,Coca-Cola: (United States)
2004-01,53
2004-02,51
2004-03,66
2004-04,85
2004-05,100
2004-06,43
2004-07,68
2004-08,36
2004-09,53
2004-10,68
2004-11,46
2004-12,67
2005-01,60
2005-02,64
2005-03,67
2005-04,79
2005-05,54
2005-06,48
2005-07,36
2005-08,47
2005-09,46
2005-10,68
2005-11,51
2005-12,49
2006-01,48
2006-02,48
2006-03,59
2006-04,65
2006-05,60
2006-06,33
2006-07,47
2006-08,37
2006-09,41
2006-10,47
2006-11,53
2006-12,42
2007-01,51
2007-02,56
2007-03,47
2007-04,46
2007-05,53
2007-06,38
2007-07,34
2007-08,36
2007-09,41
2007-10,41
2007-11,41
2007-12,39
2008-01,37
2008-02,34
2008-03,42
2008-04,48
2008-05,39
2008-06,37
2008-07,32
2008-08,33
2008-09,35
2008-10,35
2008-11,32
2008-12,23
2009-01,29
2009-02,28
2009-03,28
2009-04,28
2009-05,30
2009-06,23
2009-07,17
2009-08,15
2009-09,25
2009-10,27
2009-11,24
2009-12,20
2010-01,20
2010-02,23
2010-03,19
2010-04,23
2010-05,23
2010-06,24
2010-07,16
2010-08,17
2010-09,23
2010-10,21
2010-11,21
2010-12,16
2011-01,16
2011-02,19
2011-03,20
2011-04,17
2011-05,20
2011-06,16
2011-07,15
2011-08,18
2011-09,17
2011-10,18
2011-11,17
2011-12,17
2012-01,14
2012-02,17
2012-03,14
2012-04,18
2012-05,17
2012-06,18
2012-07,16
2012-08,16
2012-09,14
2012-10,17
2012-11,13
2012-12,13
2013-01,14
2013-02,14
2013-03,13
2013-04,13
2013-05,15
2013-06,14
2013-07,10
2013-08,11
2013-09,13
2013-10,12
2013-11,13
2013-12,10
2014-01,10
2014-02,14
2014-03,11
2014-04,13
2014-05,14
2014-06,11
2014-07,11
2014-08,11
2014-09,14
2014-10,12
2014-11,10
2014-12,11
2015-01,11
2015-02,12
2015-03,11
2015-04,13
2015-05,14
2015-06,11
2015-07,14
2015-08,16
2015-09,18
2015-10,18
2015-11,18
2015-12,21
2016-01,13
2016-02,16
2016-03,17
2016-04,15
2016-05,17
2016-06,13
2016-07,12
2016-08,13
2016-09,15
2016-10,13
2016-11,14
2016-12,13
2017-01,14
2017-02,16
2017-03,13
2017-04,18
2017-05,18
2017-06,13
2017-07,14
2017-08,14
2017-09,16
2017-10,13
2017-11,15
2017-12,15
2018-01,12
2018-02,11
2018-03,17
2018-04,13
2018-05,17
2018-06,14
2018-07,13
2018-08,14
2018-09,14
2018-10,13
2018-11,12
2018-12,14
2019-01,13
2019-02,14
2019-03,14
2019-04,13
2019-05,15
2019-06,15
2019-07,13
2019-08,12
2019-09,13
2019-10,15
2019-11,12
2019-12,13
2020-01,13
2020-02,16
2020-03,15
2020-04,16
2020-05,17
2020-06,15
2020-07,17
2020-08,16
2020-09,15
2020-10,18
2020-11,18
2020-12,17
2021-01,16
2021-02,27
2021-03,23
2021-04,22
2021-05,23
2021-06,23
2021-07,20
2021-08,18
2021-09,16
2021-10,15
2021-11,14
2021-12,16
2022-01,14
2022-02,13
