Category: All categories

Month,Home Depot: (United States)
2004-01,18
2004-02,16
2004-03,21
2004-04,23
2004-05,25
2004-06,26
2004-07,28
2004-08,24
2004-09,23
2004-10,22
2004-11,22
2004-12,22
2005-01,23
2005-02,20
2005-03,23
2005-04,25
2005-05,27
2005-06,28
2005-07,30
2005-08,26
2005-09,24
2005-10,25
2005-11,26
2005-12,25
2006-01,24
2006-02,23
2006-03,25
2006-04,28
2006-05,31
2006-06,31
2006-07,32
2006-08,29
2006-09,27
2006-10,25
2006-11,26
2006-12,27
2007-01,26
2007-02,25
2007-03,27
2007-04,29
2007-05,33
2007-06,34
2007-07,32
2007-08,31
2007-09,27
2007-10,25
2007-11,27
2007-12,27
2008-01,26
2008-02,25
2008-03,28
2008-04,31
2008-05,36
2008-06,34
2008-07,35
2008-08,31
2008-09,29
2008-10,27
2008-11,30
2008-12,29
2009-01,27
2009-02,25
2009-03,28
2009-04,31
2009-05,32
2009-06,32
2009-07,33
2009-08,30
2009-09,28
2009-10,27
2009-11,30
2009-12,28
2010-01,28
2010-02,27
2010-03,30
2010-04,35
2010-05,36
2010-06,34
2010-07,30
2010-08,28
2010-09,28
2010-10,27
2010-11,30
2010-12,29
2011-01,31
2011-02,32
2011-03,35
2011-04,37
2011-05,41
2011-06,42
2011-07,41
2011-08,39
2011-09,39
2011-10,35
2011-11,39
2011-12,36
2012-01,35
2012-02,34
2012-03,39
2012-04,41
2012-05,43
2012-06,42
2012-07,41
2012-08,39
2012-09,37
2012-10,36
2012-11,41
2012-12,38
2013-01,35
2013-02,36
2013-03,41
2013-04,47
2013-05,51
2013-06,50
2013-07,49
2013-08,44
2013-09,41
2013-10,39
2013-11,43
2013-12,43
2014-01,41
2014-02,41
2014-03,43
2014-04,51
2014-05,55
2014-06,51
2014-07,51
2014-08,47
2014-09,44
2014-10,41
2014-11,47
2014-12,44
2015-01,42
2015-02,42
2015-03,46
2015-04,50
2015-05,57
2015-06,53
2015-07,56
2015-08,51
2015-09,47
2015-10,44
2015-11,50
2015-12,48
2016-01,40
2016-02,39
2016-03,45
2016-04,52
2016-05,55
2016-06,53
2016-07,53
2016-08,45
2016-09,43
2016-10,44
2016-11,48
2016-12,46
2017-01,42
2017-02,41
2017-03,46
2017-04,55
2017-05,58
2017-06,57
2017-07,58
2017-08,51
2017-09,49
2017-10,46
2017-11,54
2017-12,50
2018-01,47
2018-02,44
2018-03,51
2018-04,56
2018-05,62
2018-06,61
2018-07,59
2018-08,54
2018-09,49
2018-10,45
2018-11,53
2018-12,49
2019-01,46
2019-02,46
2019-03,53
2019-04,63
2019-05,70
2019-06,68
2019-07,65
2019-08,59
2019-09,54
2019-10,52
2019-11,59
2019-12,56
2020-01,47
2020-02,48
2020-03,65
2020-04,88
2020-05,100
2020-06,87
2020-07,78
2020-08,71
2020-09,64
2020-10,64
2020-11,67
2020-12,66
2021-01,59
2021-02,59
2021-03,68
2021-04,75
2021-05,76
2021-06,70
2021-07,63
2021-08,58
2021-09,57
2021-10,63
2021-11,75
2021-12,66
2022-01,61
2022-02,64
