Category: All categories

Month,Honeywell: (United States)
2004-01,80
2004-02,68
2004-03,58
2004-04,66
2004-05,65
2004-06,60
2004-07,57
2004-08,54
2004-09,58
2004-10,75
2004-11,99
2004-12,85
2005-01,76
2005-02,72
2005-03,54
2005-04,54
2005-05,53
2005-06,68
2005-07,54
2005-08,63
2005-09,49
2005-10,91
2005-11,85
2005-12,94
2006-01,74
2006-02,79
2006-03,59
2006-04,60
2006-05,59
2006-06,55
2006-07,61
2006-08,57
2006-09,61
2006-10,82
2006-11,69
2006-12,69
2007-01,80
2007-02,76
2007-03,49
2007-04,51
2007-05,57
2007-06,58
2007-07,52
2007-08,60
2007-09,65
2007-10,70
2007-11,88
2007-12,78
2008-01,87
2008-02,68
2008-03,52
2008-04,59
2008-05,46
2008-06,66
2008-07,57
2008-08,55
2008-09,44
2008-10,82
2008-11,78
2008-12,81
2009-01,74
2009-02,64
2009-03,54
2009-04,57
2009-05,53
2009-06,59
2009-07,56
2009-08,54
2009-09,56
2009-10,75
2009-11,62
2009-12,80
2010-01,77
2010-02,63
2010-03,58
2010-04,50
2010-05,56
2010-06,56
2010-07,52
2010-08,49
2010-09,49
2010-10,57
2010-11,71
2010-12,64
2011-01,75
2011-02,57
2011-03,53
2011-04,47
2011-05,47
2011-06,54
2011-07,53
2011-08,54
2011-09,48
2011-10,64
2011-11,65
2011-12,65
2012-01,60
2012-02,53
2012-03,49
2012-04,43
2012-05,47
2012-06,49
2012-07,50
2012-08,44
2012-09,49
2012-10,57
2012-11,65
2012-12,56
2013-01,67
2013-02,56
2013-03,48
2013-04,46
2013-05,50
2013-06,55
2013-07,60
2013-08,47
2013-09,51
2013-10,63
2013-11,77
2013-12,68
2014-01,81
2014-02,62
2014-03,55
2014-04,51
2014-05,58
2014-06,65
2014-07,59
2014-08,57
2014-09,60
2014-10,63
2014-11,91
2014-12,72
2015-01,73
2015-02,68
2015-03,57
2015-04,54
2015-05,58
2015-06,66
2015-07,65
2015-08,60
2015-09,59
2015-10,70
2015-11,72
2015-12,67
2016-01,78
2016-02,64
2016-03,54
2016-04,52
2016-05,60
2016-06,69
2016-07,69
2016-08,62
2016-09,55
2016-10,65
2016-11,76
2016-12,88
2017-01,77
2017-02,62
2017-03,59
2017-04,61
2017-05,62
2017-06,71
2017-07,77
2017-08,66
2017-09,64
2017-10,75
2017-11,85
2017-12,95
2018-01,100
2018-02,71
2018-03,67
2018-04,61
2018-05,73
2018-06,74
2018-07,81
2018-08,74
2018-09,66
2018-10,83
2018-11,96
2018-12,82
2019-01,92
2019-02,78
2019-03,63
2019-04,64
2019-05,69
2019-06,79
2019-07,83
2019-08,73
2019-09,62
2019-10,80
2019-11,95
2019-12,79
2020-01,76
2020-02,69
2020-03,72
2020-04,68
2020-05,80
2020-06,88
2020-07,86
2020-08,80
2020-09,74
2020-10,82
2020-11,84
2020-12,95
2021-01,82
2021-02,84
2021-03,66
2021-04,66
2021-05,70
2021-06,81
2021-07,71
2021-08,72
2021-09,66
2021-10,75
2021-11,83
2021-12,78
2022-01,94
2022-02,78
