Category: All categories

Month,Intel: (United States)
2004-01,87
2004-02,91
2004-03,80
2004-04,79
2004-05,70
2004-06,85
2004-07,87
2004-08,88
2004-09,76
2004-10,75
2004-11,79
2004-12,80
2005-01,78
2005-02,75
2005-03,71
2005-04,67
2005-05,72
2005-06,91
2005-07,76
2005-08,77
2005-09,71
2005-10,63
2005-11,70
2005-12,80
2006-01,100
2006-02,82
2006-03,85
2006-04,83
2006-05,82
2006-06,83
2006-07,92
2006-08,87
2006-09,85
2006-10,78
2006-11,80
2006-12,76
2007-01,80
2007-02,77
2007-03,76
2007-04,70
2007-05,71
2007-06,77
2007-07,78
2007-08,77
2007-09,73
2007-10,70
2007-11,75
2007-12,76
2008-01,82
2008-02,74
2008-03,71
2008-04,68
2008-05,66
2008-06,69
2008-07,72
2008-08,73
2008-09,66
2008-10,65
2008-11,77
2008-12,78
2009-01,77
2009-02,74
2009-03,66
2009-04,67
2009-05,68
2009-06,68
2009-07,69
2009-08,70
2009-09,70
2009-10,72
2009-11,83
2009-12,75
2010-01,78
2010-02,73
2010-03,69
2010-04,66
2010-05,60
2010-06,63
2010-07,59
2010-08,65
2010-09,56
2010-10,57
2010-11,60
2010-12,59
2011-01,60
2011-02,59
2011-03,55
2011-04,50
2011-05,50
2011-06,50
2011-07,51
2011-08,52
2011-09,47
2011-10,47
2011-11,57
2011-12,50
2012-01,48
2012-02,46
2012-03,43
2012-04,44
2012-05,45
2012-06,44
2012-07,43
2012-08,46
2012-09,42
2012-10,41
2012-11,51
2012-12,46
2013-01,43
2013-02,43
2013-03,41
2013-04,39
2013-05,38
2013-06,41
2013-07,39
2013-08,40
2013-09,38
2013-10,39
2013-11,42
2013-12,46
2014-01,45
2014-02,41
2014-03,40
2014-04,38
2014-05,38
2014-06,38
2014-07,40
2014-08,42
2014-09,40
2014-10,37
2014-11,44
2014-12,43
2015-01,42
2015-02,41
2015-03,41
2015-04,39
2015-05,38
2015-06,40
2015-07,42
2015-08,46
2015-09,39
2015-10,38
2015-11,48
2015-12,42
2016-01,34
2016-02,32
2016-03,32
2016-04,34
2016-05,32
2016-06,31
2016-07,31
2016-08,31
2016-09,29
2016-10,30
2016-11,36
2016-12,34
2017-01,33
2017-02,35
2017-03,33
2017-04,31
2017-05,31
2017-06,33
2017-07,30
2017-08,30
2017-09,27
2017-10,30
2017-11,36
2017-12,31
2018-01,43
2018-02,31
2018-03,29
2018-04,29
2018-05,28
2018-06,31
2018-07,30
2018-08,31
2018-09,27
2018-10,29
2018-11,33
2018-12,29
2019-01,28
2019-02,27
2019-03,26
2019-04,26
2019-05,26
2019-06,27
2019-07,27
2019-08,27
2019-09,26
2019-10,25
2019-11,29
2019-12,27
2020-01,28
2020-02,26
2020-03,27
2020-04,34
2020-05,32
2020-06,32
2020-07,35
2020-08,37
2020-09,31
2020-10,29
2020-11,33
2020-12,32
2021-01,30
2021-02,28
2021-03,29
2021-04,27
2021-05,25
2021-06,25
2021-07,25
2021-08,26
2021-09,23
2021-10,21
2021-11,24
2021-12,21
2022-01,24
2022-02,23
