Category: All categories

Month,IBM: (United States)
2004-01,92
2004-02,97
2004-03,91
2004-04,89
2004-05,78
2004-06,87
2004-07,93
2004-08,95
2004-09,100
2004-10,85
2004-11,77
2004-12,80
2005-01,82
2005-02,82
2005-03,74
2005-04,78
2005-05,78
2005-06,83
2005-07,74
2005-08,74
2005-09,71
2005-10,73
2005-11,66
2005-12,64
2006-01,63
2006-02,68
2006-03,61
2006-04,58
2006-05,58
2006-06,56
2006-07,56
2006-08,63
2006-09,55
2006-10,54
2006-11,52
2006-12,48
2007-01,54
2007-02,54
2007-03,48
2007-04,46
2007-05,51
2007-06,49
2007-07,49
2007-08,47
2007-09,51
2007-10,45
2007-11,43
2007-12,39
2008-01,45
2008-02,46
2008-03,41
2008-04,44
2008-05,41
2008-06,39
2008-07,41
2008-08,40
2008-09,38
2008-10,41
2008-11,35
2008-12,35
2009-01,42
2009-02,37
2009-03,42
2009-04,39
2009-05,31
2009-06,35
2009-07,33
2009-08,31
2009-09,34
2009-10,35
2009-11,30
2009-12,29
2010-01,31
2010-02,31
2010-03,32
2010-04,31
2010-05,28
2010-06,31
2010-07,29
2010-08,27
2010-09,28
2010-10,26
2010-11,24
2010-12,22
2011-01,27
2011-02,30
2011-03,24
2011-04,23
2011-05,23
2011-06,24
2011-07,21
2011-08,24
2011-09,22
2011-10,23
2011-11,21
2011-12,18
2012-01,20
2012-02,21
2012-03,20
2012-04,21
2012-05,19
2012-06,19
2012-07,18
2012-08,19
2012-09,19
2012-10,19
2012-11,16
2012-12,15
2013-01,19
2013-02,18
2013-03,19
2013-04,19
2013-05,19
2013-06,19
2013-07,18
2013-08,18
2013-09,19
2013-10,19
2013-11,17
2013-12,15
2014-01,20
2014-02,21
2014-03,17
2014-04,19
2014-05,17
2014-06,18
2014-07,20
2014-08,17
2014-09,19
2014-10,21
2014-11,16
2014-12,15
2015-01,21
2015-02,19
2015-03,17
2015-04,18
2015-05,16
2015-06,17
2015-07,18
2015-08,17
2015-09,18
2015-10,19
2015-11,16
2015-12,14
2016-01,16
2016-02,16
2016-03,18
2016-04,16
2016-05,15
2016-06,15
2016-07,13
2016-08,15
2016-09,14
2016-10,14
2016-11,14
2016-12,13
2017-01,15
2017-02,17
2017-03,16
2017-04,16
2017-05,15
2017-06,14
2017-07,14
2017-08,14
2017-09,14
2017-10,15
2017-11,13
2017-12,12
2018-01,17
2018-02,15
2018-03,15
2018-04,15
2018-05,14
2018-06,13
2018-07,13
2018-08,13
2018-09,13
2018-10,16
2018-11,13
2018-12,11
2019-01,14
2019-02,14
2019-03,13
2019-04,14
2019-05,12
2019-06,12
2019-07,12
2019-08,12
2019-09,12
2019-10,13
2019-11,11
2019-12,10
2020-01,13
2020-02,13
2020-03,13
2020-04,12
2020-05,11
2020-06,11
2020-07,12
2020-08,11
2020-09,10
2020-10,12
2020-11,9
2020-12,9
2021-01,11
2021-02,10
2021-03,10
2021-04,11
2021-05,10
2021-06,9
2021-07,10
2021-08,9
2021-09,9
2021-10,9
2021-11,9
2021-12,8
2022-01,9
2022-02,10
