Category: All categories

Month,Johnson & Johnson: (United States)
2004-01,80
2004-02,83
2004-03,72
2004-04,62
2004-05,69
2004-06,85
2004-07,60
2004-08,73
2004-09,81
2004-10,75
2004-11,64
2004-12,74
2005-01,72
2005-02,73
2005-03,66
2005-04,80
2005-05,67
2005-06,73
2005-07,78
2005-08,57
2005-09,71
2005-10,68
2005-11,61
2005-12,56
2006-01,49
2006-02,68
2006-03,61
2006-04,63
2006-05,62
2006-06,61
2006-07,48
2006-08,51
2006-09,54
2006-10,68
2006-11,44
2006-12,56
2007-01,51
2007-02,57
2007-03,50
2007-04,51
2007-05,46
2007-06,46
2007-07,52
2007-08,53
2007-09,45
2007-10,48
2007-11,52
2007-12,47
2008-01,50
2008-02,46
2008-03,45
2008-04,60
2008-05,40
2008-06,46
2008-07,51
2008-08,42
2008-09,38
2008-10,46
2008-11,45
2008-12,34
2009-01,41
2009-02,40
2009-03,56
2009-04,47
2009-05,41
2009-06,40
2009-07,41
2009-08,30
2009-09,36
2009-10,32
2009-11,35
2009-12,29
2010-01,40
2010-02,36
2010-03,33
2010-04,32
2010-05,36
2010-06,34
2010-07,32
2010-08,34
2010-09,35
2010-10,30
2010-11,28
2010-12,25
2011-01,31
2011-02,27
2011-03,34
2011-04,32
2011-05,30
2011-06,27
2011-07,29
2011-08,24
2011-09,26
2011-10,25
2011-11,28
2011-12,22
2012-01,25
2012-02,25
2012-03,24
2012-04,21
2012-05,21
2012-06,20
2012-07,22
2012-08,24
2012-09,20
2012-10,21
2012-11,44
2012-12,19
2013-01,20
2013-02,19
2013-03,22
2013-04,20
2013-05,21
2013-06,17
2013-07,18
2013-08,19
2013-09,21
2013-10,20
2013-11,20
2013-12,17
2014-01,19
2014-02,22
2014-03,20
2014-04,19
2014-05,19
2014-06,19
2014-07,20
2014-08,20
2014-09,18
2014-10,19
2014-11,14
2014-12,16
2015-01,20
2015-02,18
2015-03,17
2015-04,19
2015-05,17
2015-06,21
2015-07,21
2015-08,20
2015-09,20
2015-10,21
2015-11,15
2015-12,15
2016-01,17
2016-02,20
2016-03,19
2016-04,18
2016-05,17
2016-06,20
2016-07,16
2016-08,15
2016-09,15
2016-10,17
2016-11,15
2016-12,15
2017-01,17
2017-02,19
2017-03,15
2017-04,17
2017-05,17
2017-06,18
2017-07,17
2017-08,18
2017-09,16
2017-10,15
2017-11,16
2017-12,14
2018-01,18
2018-02,16
2018-03,15
2018-04,17
2018-05,14
2018-06,17
2018-07,18
2018-08,16
2018-09,16
2018-10,16
2018-11,16
2018-12,14
2019-01,16
2019-02,16
2019-03,17
2019-04,17
2019-05,15
2019-06,18
2019-07,16
2019-08,18
2019-09,16
2019-10,17
2019-11,12
2019-12,14
2020-01,16
2020-02,17
2020-03,16
2020-04,16
2020-05,15
2020-06,16
2020-07,15
2020-08,16
2020-09,15
2020-10,16
2020-11,14
2020-12,16
2021-01,26
2021-02,32
2021-03,100
2021-04,91
2021-05,39
2021-06,31
2021-07,35
2021-08,37
2021-09,28
2021-10,24
2021-11,28
2021-12,20
2022-01,17
2022-02,14
