Category: All categories

Month,McDonalds: (United States)
2004-01,19
2004-02,24
2004-03,19
2004-04,29
2004-05,23
2004-06,20
2004-07,17
2004-08,16
2004-09,20
2004-10,24
2004-11,24
2004-12,20
2005-01,21
2005-02,25
2005-03,26
2005-04,24
2005-05,24
2005-06,20
2005-07,21
2005-08,20
2005-09,20
2005-10,31
2005-11,32
2005-12,18
2006-01,21
2006-02,26
2006-03,28
2006-04,26
2006-05,24
2006-06,23
2006-07,24
2006-08,19
2006-09,24
2006-10,37
2006-11,26
2006-12,24
2007-01,26
2007-02,28
2007-03,32
2007-04,29
2007-05,29
2007-06,27
2007-07,28
2007-08,28
2007-09,30
2007-10,51
2007-11,29
2007-12,26
2008-01,31
2008-02,32
2008-03,34
2008-04,36
2008-05,33
2008-06,33
2008-07,34
2008-08,30
2008-09,35
2008-10,61
2008-11,42
2008-12,33
2009-01,35
2009-02,38
2009-03,44
2009-04,41
2009-05,39
2009-06,37
2009-07,43
2009-08,38
2009-09,39
2009-10,65
2009-11,43
2009-12,38
2010-01,44
2010-02,44
2010-03,47
2010-04,46
2010-05,45
2010-06,51
2010-07,55
2010-08,51
2010-09,49
2010-10,69
2010-11,51
2010-12,45
2011-01,58
2011-02,54
2011-03,58
2011-04,74
2011-05,63
2011-06,66
2011-07,67
2011-08,61
2011-09,63
2011-10,85
2011-11,65
2011-12,59
2012-01,69
2012-02,67
2012-03,67
2012-04,68
2012-05,68
2012-06,71
2012-07,70
2012-08,67
2012-09,63
2012-10,67
2012-11,57
2012-12,61
2013-01,62
2013-02,62
2013-03,64
2013-04,70
2013-05,70
2013-06,77
2013-07,86
2013-08,77
2013-09,66
2013-10,65
2013-11,66
2013-12,65
2014-01,66
2014-02,66
2014-03,67
2014-04,67
2014-05,70
2014-06,67
2014-07,68
2014-08,64
2014-09,64
2014-10,76
2014-11,58
2014-12,65
2015-01,62
2015-02,56
2015-03,62
2015-04,63
2015-05,62
2015-06,62
2015-07,75
2015-08,64
2015-09,66
2015-10,67
2015-11,66
2015-12,65
2016-01,63
2016-02,58
2016-03,66
2016-04,79
2016-05,64
2016-06,68
2016-07,73
2016-08,63
2016-09,61
2016-10,61
2016-11,61
2016-12,69
2017-01,69
2017-02,66
2017-03,67
2017-04,74
2017-05,74
2017-06,80
2017-07,83
2017-08,74
2017-09,71
2017-10,83
2017-11,72
2017-12,82
2018-01,78
2018-02,75
2018-03,76
2018-04,75
2018-05,73
2018-06,80
2018-07,88
2018-08,81
2018-09,73
2018-10,77
2018-11,74
2018-12,81
2019-01,80
2019-02,75
2019-03,79
2019-04,82
2019-05,87
2019-06,100
2019-07,91
2019-08,88
2019-09,76
2019-10,78
2019-11,84
2019-12,89
2020-01,78
2020-02,76
2020-03,76
2020-04,71
2020-05,77
2020-06,74
2020-07,72
2020-08,74
2020-09,87
2020-10,74
2020-11,72
2020-12,86
2021-01,76
2021-02,86
2021-03,85
2021-04,85
2021-05,94
2021-06,88
2021-07,85
2021-08,84
2021-09,82
2021-10,84
2021-11,83
2021-12,94
2022-01,74
2022-02,78
