Category: All categories

Month,Merck: (United States)
2004-01,54
2004-02,67
2004-03,63
2004-04,56
2004-05,68
2004-06,69
2004-07,52
2004-08,66
2004-09,77
2004-10,97
2004-11,100
2004-12,84
2005-01,60
2005-02,84
2005-03,73
2005-04,60
2005-05,67
2005-06,66
2005-07,72
2005-08,71
2005-09,56
2005-10,65
2005-11,62
2005-12,56
2006-01,45
2006-02,61
2006-03,53
2006-04,59
2006-05,67
2006-06,59
2006-07,60
2006-08,60
2006-09,48
2006-10,60
2006-11,58
2006-12,47
2007-01,48
2007-02,58
2007-03,56
2007-04,54
2007-05,43
2007-06,49
2007-07,40
2007-08,46
2007-09,49
2007-10,50
2007-11,50
2007-12,41
2008-01,44
2008-02,45
2008-03,47
2008-04,53
2008-05,39
2008-06,35
2008-07,39
2008-08,30
2008-09,37
2008-10,45
2008-11,37
2008-12,31
2009-01,37
2009-02,44
2009-03,55
2009-04,40
2009-05,32
2009-06,34
2009-07,37
2009-08,35
2009-09,38
2009-10,39
2009-11,41
2009-12,29
2010-01,37
2010-02,37
2010-03,39
2010-04,39
2010-05,38
2010-06,36
2010-07,31
2010-08,30
2010-09,34
2010-10,35
2010-11,33
2010-12,27
2011-01,32
2011-02,35
2011-03,30
2011-04,29
2011-05,33
2011-06,29
2011-07,26
2011-08,26
2011-09,30
2011-10,30
2011-11,29
2011-12,23
2012-01,26
2012-02,26
2012-03,30
2012-04,29
2012-05,23
2012-06,24
2012-07,26
2012-08,25
2012-09,25
2012-10,28
2012-11,23
2012-12,18
2013-01,26
2013-02,26
2013-03,25
2013-04,28
2013-05,26
2013-06,23
2013-07,24
2013-08,22
2013-09,22
2013-10,30
2013-11,22
2013-12,18
2014-01,24
2014-02,27
2014-03,22
2014-04,25
2014-05,25
2014-06,21
2014-07,23
2014-08,21
2014-09,25
2014-10,25
2014-11,21
2014-12,22
2015-01,25
2015-02,24
2015-03,22
2015-04,24
2015-05,20
2015-06,23
2015-07,22
2015-08,20
2015-09,22
2015-10,23
2015-11,22
2015-12,19
2016-01,20
2016-02,22
2016-03,21
2016-04,22
2016-05,20
2016-06,21
2016-07,20
2016-08,22
2016-09,18
2016-10,22
2016-11,20
2016-12,17
2017-01,21
2017-02,23
2017-03,22
2017-04,19
2017-05,18
2017-06,24
2017-07,22
2017-08,33
2017-09,20
2017-10,23
2017-11,19
2017-12,18
2018-01,22
2018-02,21
2018-03,18
2018-04,24
2018-05,21
2018-06,18
2018-07,20
2018-08,22
2018-09,19
2018-10,21
2018-11,21
2018-12,18
2019-01,21
2019-02,25
2019-03,23
2019-04,24
2019-05,22
2019-06,21
2019-07,20
2019-08,22
2019-09,21
2019-10,24
2019-11,21
2019-12,29
2020-01,23
2020-02,25
2020-03,23
2020-04,24
2020-05,21
2020-06,24
2020-07,23
2020-08,22
2020-09,19
2020-10,21
2020-11,19
2020-12,21
2021-01,26
2021-02,23
2021-03,33
2021-04,23
2021-05,21
2021-06,21
2021-07,19
2021-08,19
2021-09,24
2021-10,62
2021-11,32
2021-12,25
2022-01,20
2022-02,22
