Category: All categories

Month,Microsoft: (United States)
2004-01,100
2004-02,99
2004-03,89
2004-04,85
2004-05,93
2004-06,92
2004-07,89
2004-08,93
2004-09,93
2004-10,88
2004-11,86
2004-12,86
2005-01,93
2005-02,91
2005-03,86
2005-04,85
2005-05,82
2005-06,84
2005-07,85
2005-08,96
2005-09,86
2005-10,88
2005-11,86
2005-12,83
2006-01,89
2006-02,84
2006-03,84
2006-04,79
2006-05,76
2006-06,74
2006-07,72
2006-08,78
2006-09,77
2006-10,79
2006-11,83
2006-12,76
2007-01,81
2007-02,88
2007-03,81
2007-04,73
2007-05,70
2007-06,72
2007-07,68
2007-08,73
2007-09,73
2007-10,74
2007-11,73
2007-12,69
2008-01,75
2008-02,73
2008-03,68
2008-04,73
2008-05,65
2008-06,64
2008-07,66
2008-08,66
2008-09,72
2008-10,66
2008-11,64
2008-12,66
2009-01,69
2009-02,70
2009-03,67
2009-04,69
2009-05,60
2009-06,58
2009-07,59
2009-08,61
2009-09,66
2009-10,68
2009-11,67
2009-12,62
2010-01,66
2010-02,66
2010-03,64
2010-04,64
2010-05,58
2010-06,60
2010-07,50
2010-08,51
2010-09,57
2010-10,56
2010-11,56
2010-12,53
2011-01,56
2011-02,54
2011-03,52
2011-04,49
2011-05,49
2011-06,47
2011-07,42
2011-08,46
2011-09,48
2011-10,46
2011-11,44
2011-12,43
2012-01,44
2012-02,43
2012-03,41
2012-04,41
2012-05,39
2012-06,43
2012-07,39
2012-08,42
2012-09,45
2012-10,47
2012-11,48
2012-12,42
2013-01,43
2013-02,45
2013-03,40
2013-04,39
2013-05,38
2013-06,38
2013-07,36
2013-08,39
2013-09,44
2013-10,43
2013-11,42
2013-12,43
2014-01,41
2014-02,41
2014-03,39
2014-04,40
2014-05,37
2014-06,35
2014-07,36
2014-08,39
2014-09,42
2014-10,39
2014-11,39
2014-12,38
2015-01,39
2015-02,37
2015-03,36
2015-04,35
2015-05,35
2015-06,34
2015-07,36
2015-08,40
2015-09,41
2015-10,39
2015-11,37
2015-12,36
2016-01,31
2016-02,30
2016-03,31
2016-04,29
2016-05,28
2016-06,28
2016-07,26
2016-08,29
2016-09,29
2016-10,30
2016-11,30
2016-12,29
2017-01,30
2017-02,30
2017-03,28
2017-04,28
2017-05,27
2017-06,26
2017-07,26
2017-08,28
2017-09,30
2017-10,29
2017-11,28
2017-12,27
2018-01,29
2018-02,28
2018-03,29
2018-04,27
2018-05,27
2018-06,28
2018-07,26
2018-08,29
2018-09,29
2018-10,28
2018-11,28
2018-12,25
2019-01,28
2019-02,28
2019-03,26
2019-04,26
2019-05,26
2019-06,26
2019-07,25
2019-08,29
2019-09,30
2019-10,30
2019-11,29
2019-12,28
2020-01,30
2020-02,31
2020-03,40
2020-04,42
2020-05,35
2020-06,34
2020-07,35
2020-08,46
2020-09,45
2020-10,35
2020-11,31
2020-12,32
2021-01,32
2021-02,33
2021-03,34
2021-04,30
2021-05,28
2021-06,29
2021-07,27
2021-08,30
2021-09,31
2021-10,24
2021-11,24
2021-12,23
2022-01,27
2022-02,26
