Category: All categories

Month,Nike: (United States)
2004-01,19
2004-02,22
2004-03,24
2004-04,25
2004-05,24
2004-06,27
2004-07,27
2004-08,29
2004-09,24
2004-10,24
2004-11,26
2004-12,28
2005-01,22
2005-02,27
2005-03,26
2005-04,27
2005-05,27
2005-06,27
2005-07,28
2005-08,26
2005-09,25
2005-10,24
2005-11,27
2005-12,29
2006-01,26
2006-02,29
2006-03,27
2006-04,30
2006-05,29
2006-06,29
2006-07,29
2006-08,30
2006-09,27
2006-10,27
2006-11,27
2006-12,31
2007-01,27
2007-02,29
2007-03,30
2007-04,29
2007-05,28
2007-06,29
2007-07,31
2007-08,33
2007-09,30
2007-10,27
2007-11,30
2007-12,33
2008-01,28
2008-02,31
2008-03,31
2008-04,34
2008-05,32
2008-06,33
2008-07,34
2008-08,38
2008-09,31
2008-10,28
2008-11,32
2008-12,35
2009-01,28
2009-02,30
2009-03,32
2009-04,31
2009-05,31
2009-06,29
2009-07,31
2009-08,33
2009-09,30
2009-10,29
2009-11,32
2009-12,33
2010-01,27
2010-02,29
2010-03,31
2010-04,34
2010-05,33
2010-06,31
2010-07,32
2010-08,34
2010-09,32
2010-10,30
2010-11,34
2010-12,36
2011-01,33
2011-02,36
2011-03,40
2011-04,40
2011-05,37
2011-06,35
2011-07,37
2011-08,41
2011-09,39
2011-10,35
2011-11,38
2011-12,46
2012-01,41
2012-02,48
2012-03,49
2012-04,57
2012-05,47
2012-06,48
2012-07,48
2012-08,57
2012-09,44
2012-10,41
2012-11,47
2012-12,54
2013-01,45
2013-02,49
2013-03,50
2013-04,48
2013-05,47
2013-06,44
2013-07,46
2013-08,53
2013-09,45
2013-10,43
2013-11,51
2013-12,60
2014-01,48
2014-02,56
2014-03,54
2014-04,52
2014-05,49
2014-06,49
2014-07,51
2014-08,56
2014-09,47
2014-10,43
2014-11,51
2014-12,62
2015-01,49
2015-02,52
2015-03,52
2015-04,52
2015-05,49
2015-06,46
2015-07,54
2015-08,59
2015-09,49
2015-10,53
2015-11,59
2015-12,70
2016-01,57
2016-02,59
2016-03,64
2016-04,56
2016-05,53
2016-06,53
2016-07,58
2016-08,64
2016-09,51
2016-10,53
2016-11,65
2016-12,70
2017-01,52
2017-02,57
2017-03,55
2017-04,54
2017-05,49
2017-06,50
2017-07,57
2017-08,60
2017-09,50
2017-10,50
2017-11,62
2017-12,68
2018-01,50
2018-02,56
2018-03,59
2018-04,53
2018-05,50
2018-06,51
2018-07,59
2018-08,61
2018-09,100
2018-10,49
2018-11,63
2018-12,72
2019-01,51
2019-02,58
2019-03,59
2019-04,58
2019-05,53
2019-06,55
2019-07,64
2019-08,67
2019-09,51
2019-10,51
2019-11,67
2019-12,81
2020-01,57
2020-02,62
2020-03,49
2020-04,52
2020-05,65
2020-06,63
2020-07,67
2020-08,65
2020-09,55
2020-10,56
2020-11,65
2020-12,74
2021-01,56
2021-02,54
2021-03,70
2021-04,62
2021-05,57
2021-06,55
2021-07,64
2021-08,70
2021-09,58
2021-10,45
2021-11,59
2021-12,63
2022-01,44
2022-02,47
