Category: All categories

Month,Procter & Gamble: (United States)
2004-01,16
2004-02,46
2004-03,58
2004-04,44
2004-05,55
2004-06,98
2004-07,14
2004-08,51
2004-09,85
2004-10,50
2004-11,64
2004-12,47
2005-01,41
2005-02,32
2005-03,100
2005-04,52
2005-05,74
2005-06,57
2005-07,76
2005-08,70
2005-09,41
2005-10,54
2005-11,71
2005-12,45
2006-01,80
2006-02,35
2006-03,30
2006-04,39
2006-05,31
2006-06,57
2006-07,44
2006-08,40
2006-09,40
2006-10,21
2006-11,32
2006-12,31
2007-01,52
2007-02,25
2007-03,88
2007-04,27
2007-05,40
2007-06,39
2007-07,53
2007-08,62
2007-09,35
2007-10,53
2007-11,32
2007-12,40
2008-01,22
2008-02,37
2008-03,22
2008-04,32
2008-05,41
2008-06,30
2008-07,42
2008-08,28
2008-09,30
2008-10,35
2008-11,24
2008-12,23
2009-01,35
2009-02,41
2009-03,44
2009-04,58
2009-05,34
2009-06,13
2009-07,26
2009-08,29
2009-09,18
2009-10,31
2009-11,37
2009-12,24
2010-01,25
2010-02,33
2010-03,40
2010-04,44
2010-05,39
2010-06,35
2010-07,22
2010-08,21
2010-09,46
2010-10,26
2010-11,30
2010-12,11
2011-01,23
2011-02,33
2011-03,30
2011-04,34
2011-05,19
2011-06,23
2011-07,20
2011-08,26
2011-09,22
2011-10,26
2011-11,23
2011-12,17
2012-01,19
2012-02,18
2012-03,23
2012-04,22
2012-05,25
2012-06,17
2012-07,17
2012-08,18
2012-09,13
2012-10,21
2012-11,13
2012-12,8
2013-01,11
2013-02,21
2013-03,15
2013-04,20
2013-05,15
2013-06,21
2013-07,7
2013-08,15
2013-09,12
2013-10,20
2013-11,12
2013-12,10
2014-01,9
2014-02,18
2014-03,9
2014-04,14
2014-05,14
2014-06,18
2014-07,16
2014-08,21
2014-09,24
2014-10,14
2014-11,14
2014-12,12
2015-01,6
2015-02,18
2015-03,17
2015-04,14
2015-05,14
2015-06,17
2015-07,17
2015-08,15
2015-09,18
2015-10,21
2015-11,17
2015-12,24
2016-01,17
2016-02,18
2016-03,17
2016-04,11
2016-05,18
2016-06,12
2016-07,19
2016-08,14
2016-09,13
2016-10,19
2016-11,17
2016-12,9
2017-01,15
2017-02,25
2017-03,17
2017-04,19
2017-05,13
2017-06,16
2017-07,15
2017-08,13
2017-09,15
2017-10,18
2017-11,23
2017-12,17
2018-01,25
2018-02,23
2018-03,19
2018-04,18
2018-05,15
2018-06,18
2018-07,14
2018-08,15
2018-09,17
2018-10,18
2018-11,19
2018-12,16
2019-01,28
2019-02,17
2019-03,23
2019-04,15
2019-05,16
2019-06,20
2019-07,27
2019-08,17
2019-09,25
2019-10,24
2019-11,17
2019-12,22
2020-01,24
2020-02,22
2020-03,47
2020-04,33
2020-05,27
2020-06,30
2020-07,21
2020-08,25
2020-09,20
2020-10,21
2020-11,16
2020-12,25
2021-01,24
2021-02,18
2021-03,21
2021-04,27
2021-05,24
2021-06,25
2021-07,17
2021-08,28
2021-09,22
2021-10,22
2021-11,29
2021-12,26
2022-01,25
2022-02,30
