Category: All categories

Month,Salesforce: (United States)
2004-01,0
2004-02,2
2004-03,1
2004-04,2
2004-05,3
2004-06,3
2004-07,2
2004-08,<1
2004-09,1
2004-10,1
2004-11,3
2004-12,4
2005-01,2
2005-02,2
2005-03,3
2005-04,2
2005-05,2
2005-06,3
2005-07,2
2005-08,3
2005-09,3
2005-10,2
2005-11,4
2005-12,2
2006-01,5
2006-02,4
2006-03,4
2006-04,3
2006-05,3
2006-06,3
2006-07,3
2006-08,3
2006-09,2
2006-10,6
2006-11,5
2006-12,3
2007-01,5
2007-02,4
2007-03,5
2007-04,5
2007-05,5
2007-06,3
2007-07,6
2007-08,6
2007-09,8
2007-10,5
2007-11,6
2007-12,6
2008-01,5
2008-02,6
2008-03,6
2008-04,9
2008-05,7
2008-06,8
2008-07,8
2008-08,7
2008-09,9
2008-10,9
2008-11,10
2008-12,7
2009-01,10
2009-02,10
2009-03,10
2009-04,8
2009-05,9
2009-06,11
2009-07,11
2009-08,10
2009-09,11
2009-10,10
2009-11,12
2009-12,11
2010-01,11
2010-02,13
2010-03,14
2010-04,13
2010-05,14
2010-06,16
2010-07,14
2010-08,17
2010-09,16
2010-10,17
2010-11,15
2010-12,17
2011-01,19
2011-02,21
2011-03,23
2011-04,21
2011-05,20
2011-06,25
2011-07,24
2011-08,24
2011-09,26
2011-10,27
2011-11,26
2011-12,24
2012-01,28
2012-02,29
2012-03,32
2012-04,30
2012-05,32
2012-06,31
2012-07,30
2012-08,34
2012-09,30
2012-10,34
2012-11,31
2012-12,27
2013-01,33
2013-02,36
2013-03,36
2013-04,36
2013-05,36
2013-06,42
2013-07,40
2013-08,38
2013-09,40
2013-10,44
2013-11,43
2013-12,37
2014-01,46
2014-02,47
2014-03,46
2014-04,50
2014-05,47
2014-06,53
2014-07,58
2014-08,57
2014-09,54
2014-10,60
2014-11,50
2014-12,48
2015-01,55
2015-02,61
2015-03,56
2015-04,62
2015-05,58
2015-06,63
2015-07,63
2015-08,58
2015-09,62
2015-10,60
2015-11,55
2015-12,52
2016-01,53
2016-02,60
2016-03,60
2016-04,58
2016-05,61
2016-06,62
2016-07,55
2016-08,65
2016-09,62
2016-10,67
2016-11,60
2016-12,53
2017-01,67
2017-02,70
2017-03,70
2017-04,66
2017-05,69
2017-06,72
2017-07,68
2017-08,73
2017-09,64
2017-10,72
2017-11,68
2017-12,56
2018-01,73
2018-02,72
2018-03,78
2018-04,82
2018-05,83
2018-06,82
2018-07,80
2018-08,87
2018-09,83
2018-10,86
2018-11,75
2018-12,63
2019-01,82
2019-02,85
2019-03,85
2019-04,85
2019-05,93
2019-06,100
2019-07,91
2019-08,98
2019-09,90
2019-10,97
2019-11,89
2019-12,75
2020-01,94
2020-02,97
2020-03,89
2020-04,87
2020-05,81
2020-06,85
2020-07,87
2020-08,93
2020-09,84
2020-10,65
2020-11,53
2020-12,61
2021-01,55
2021-02,64
2021-03,64
2021-04,57
2021-05,62
2021-06,63
2021-07,60
2021-08,60
2021-09,64
2021-10,56
2021-11,55
2021-12,51
2022-01,58
2022-02,67
